rank	count	BODY
119=	10	Soft bottom, algae.
119=	10	Soft bottom, sea grass.
119=	10	Terrestrial.
119=	10	Vine thicket.
119=	10	Williams & Williams (1983) recorded this species from <I>Leptospermum flavescens</I>.
138=	9	Buries in sand.
138=	9	Depth 40 m.
138=	9	Exposed.
138=	9	Flower visiting record: <I>Wahlenbergia</I> Roth [Campanulaceae].
138=	9	In clumps of spinifex.
138=	9	Males unknown.
138=	9	Parasite from oesophagus.
138=	9	Parasite from peritoneal cavity.
138=	9	Parasite from the caecum.
138=	9	Prey Blattodea.
138=	9	To 50 m.
138=	9	To 546 metres.
138=	9	attached to hard substrates
138=	9	living under deep litter
152=	8	5-10 fathoms (approx. 9.2-18.3 m).
152=	8	Continental slope.
152=	8	Depth 18 m.
152=	8	Depth 52 m.
152=	8	Found on leaves, roots and stones.
152=	8	From <I>Ac. harpophylla</I>.
152=	8	In burrows associated with alpheid shrimps.
152=	8	In pyloric antrum.
152=	8	Lotic-erosional waters.
152=	8	Male volant.
152=	8	Nest in ground layer or arboreal.
152=	8	Nocturnal swimming reproductive males.
152=	8	Open pastures.
152=	8	Pupates within brown silken cocoon.
152=	8	Seasonal breeder, free-living tadpole, breeds in swamps.
152=	8	To 15 m.
152=	8	To 25 m.
169=	7	1-10 m.
169=	7	1-60 m.
169=	7	14 fathoms (approx. 25.6 m).
169=	7	Beach.
169=	7	Bites humans.
169=	7	Byssally attached.
169=	7	Depth 34 m.
169=	7	Depth 36 m.
169=	7	Flower visiting record: <I>Cassia</I> L. <I>s.lat.</I> [Caesalpiniaceae].
169=	7	From <I>Ac. papyrocarpa</I>.
169=	7	In abomasum.
169=	7	Known only from type locality.
169=	7	Larva unknown, presumed to be a leaf-miner. Larval foodplants: probably Myrtaceae (Hoare <I>et al</I>. 1997).
169=	7	Larvae and females unknown.
169=	7	Leaf galls on <I>Geijera parviflora</I> [Rutaceae].
169=	7	Leaf litter inhabitants.
169=	7	Nest gregariously in ground.
169=	7	Often found under logs, stones or in clumps of spinifex.
169=	7	On rocks.
169=	7	Oviparous, lacertiphagous.
169=	7	Parasite from small intestine.
169=	7	Presumably a filter feeder.
169=	7	Prey spiders.
169=	7	Soft bottom, nocturnal swimming reproductive males.
169=	7	Streams, riverine.
169=	7	To 10 m.
169=	7	To 40 m.
169=	7	To 50 metres.
169=	7	Trawled.
169=	7	Viviparous.
199=	6	1-40 m.
199=	6	1-50 m.
199=	6	2-20 m.
199=	6	2-25 m.
199=	6	2-30 m.
199=	6	Adjacent weed bottoms.
199=	6	Associated with sponges.
199=	6	Coleopteroid.
199=	6	Constructs burrow.
199=	6	Depth 3–6 m.
199=	6	Depth 7–8 m.
199=	6	Epidermal-feeder.
199=	6	Feeds on polychaetes.
199=	6	Feral.
199=	6	Flower visiting record: <I>Angophora</I> Cav. [Myrtaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae].
199=	6	Flower visiting record: <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Melaleuca</I> L. [Myrtaceae].
199=	6	Flower visiting record: <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Tristania</I> R.Br. [Myrtaceae].
199=	6	Free-living tadpole, torrent dweller.
199=	6	Grazer.
199=	6	Ground dwellers that shelter under spinifex tussocks and litter.
199=	6	Inquiline (with termites).
199=	6	Larva presumed predator on freshwater sponges.
199=	6	Larva unknown, presumed to be a leaf-miner. Larval foodplants: probably <I>Eucalyptus</I> spp. (Myrtaceae) (Hoare <I>et al</I>. 1997).
199=	6	Larvae under fallen timber.
199=	6	Male and female macropterous.
199=	6	Male volant, female unknown.
199=	6	Moss.
199=	6	Nest in ground layer, army ant.
199=	6	Often found sunbasking on ground, rocks and low foliage.
199=	6	Parasite from the intestine.
199=	6	Pastures.
199=	6	Presumedly a filter feeder.
199=	6	Prey adult Diptera, nest in plant stems.
199=	6	Seasonal breeder, general carnivore.
199=	6	Shelters in rocky terrain adjacent to feeding areas.
199=	6	Social, nest and diet unknown.
199=	6	Tidal mud-flats.
199=	6	To 37 metres.
199=	6	To 60 m.
199=	6	To 90 m.
199=	6	Under limestone rocks.
199=	6	Urban gardens.
199=	6	arboreal; herbivore; host unknown
199=	6	herbivore; host unknown
199=	6	living on limestone rocks or on leaves in the litter
199=	6	semiaquatic; freshwater; predator
199=	6	semiaquatic; predator
246=	5	'probably a corticolous species'.
246=	5	1-25 m.
246=	5	10–100 m.
246=	5	20 fathoms (approx. 36.6 m).
246=	5	4–12 m depth.
246=	5	770 m depth.
246=	5	800 m depth.
246=	5	?host; larva unknown.
246=	5	Algae, epizoic.
246=	5	At light.
246=	5	Below low water mark.
246=	5	Collector.
246=	5	Depth 20 m.
246=	5	Depth 20–40 m.
246=	5	Depth 30 m.
246=	5	Depth 90 m.
246=	5	Flower visiting record: <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Eugenia</I> L. [Myrtaceae].
246=	5	From <I>Ac. cambagei</I>.
246=	5	From <I>Acacia </I>sp.
246=	5	General carnivore, constrictor.
246=	5	Grazer, gardens.
246=	5	Hawkeswood (1982) recorded this species on flowers of <I>Eucalyptus cylindriflora</I> and <I>E. foecunda</I>.
246=	5	Host species not known.
246=	5	In ant nests.
246=	5	In crevices.
246=	5	In grass.
246=	5	In litter.
246=	5	Inhabits burrow.
246=	5	Larva in vertical silken tunnel in soil. Larval foodplants: grasses (Poaceae).
246=	5	Larva probably root/humus feeder.
246=	5	Live on bryozoans.
246=	5	Male and female mesopterous.
246=	5	Male volant, female flightless*.
246=	5	Male volant, female wing state unknown.
246=	5	Male winged, female wings reduced.
246=	5	Native grasses.
246=	5	Near pools and streams.
246=	5	Nest in ground, flower visiting record: <I>Persoonia</I> Sm. [Proteaceae].
246=	5	Net spinner.
246=	5	Often found in cracks in boulders and timber.
246=	5	On green leaves.
246=	5	On rocks under sand.
246=	5	Opportunistic breeder in swamps and inundated grassland, free-living tadpole.
246=	5	Oviparous.
246=	5	Parasite from peritoneal and pleural cavities.
246=	5	Parasite from the caecum and colon.
246=	5	Parasite from the colon.
246=	5	Prey Homoptera.
246=	5	Prey spiders, nest using mud.
246=	5	Seasonal breeder, direct development.
246=	5	Seasonal breeder, oviparous.
246=	5	Seasonal breeder, sexually dimorphic, general carnivore.
246=	5	Sexually dimorphic.
246=	5	Soft bottom, seagrass.
246=	5	Streams.
246=	5	Subsocial, amongst dead leaves.
246=	5	Subtidal.
246=	5	To 273 metres.
246=	5	To 28 metres.
246=	5	To 30 metres.
246=	5	To 364 metres.
246=	5	To 45 m.
246=	5	Under rocks and coral.
246=	5	Wet sclerophyll forest, temperate rainforest.
246=	5	Xerophilic.
246=	5	dry rainforest
312=	4	1-15 m.
312=	4	1-35 m.
312=	4	100 m
312=	4	100–200 m.
312=	4	100–300 m.
312=	4	15-20 fathoms (approx. 27.4-36.6 m).
312=	4	1–100 m.
312=	4	2400-2500 m depth.
312=	4	5-30 m.
312=	4	720 m depth.
312=	4	992–1000 m.
312=	4	<I>Panicum maximum</I> (Poaceae) is introduced.
312=	4	Arecaceae.
312=	4	Breeds in swamps, free-living tadpole.
312=	4	Cleptoparasitic.
312=	4	Collected at light.
312=	4	Construct cases of small stones.
312=	4	Depth 10 m.
312=	4	Depth 10–20 m.
312=	4	Depth 10–30 m.
312=	4	Depth 10–50 m.
312=	4	Depth 13 m.
312=	4	Depth 200–540 m.
312=	4	Depth 30–50 m.
312=	4	Depth 35 m.
312=	4	Depth 41 m.
312=	4	Depth 54–63 m.
312=	4	Depth 6 m.
312=	4	Depth 70 m.
312=	4	Depth subtidal–110 m.
312=	4	Depth to 25 m.
312=	4	Diet includes cephalopods.
312=	4	Epizoic.
312=	4	Female brachypterous.
312=	4	Females unknown.
312=	4	Flower visiting record: <I>Bursaria</I> Cav. [Pittosporaceae].
312=	4	Flower visiting record: <I>Daviesia</I> Sm. [Fabaceae].
312=	4	Flower visiting record: <I>Eremophila</I> R.Br. [Myoporaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae].
312=	4	Flower visiting record: <I>Grevillea</I> R.Br. ex J. Knight [Proteaceae].
312=	4	Flower visiting record: <I>Helichrysum</I> Miller <I>s.lat.</I> [Asteraceae].
312=	4	Flower visiting record: <I>Leptospermum</I> Forster & G.Forster [Myrtaceae], <I>Melaleuca</I> L. [Myrtaceae].
312=	4	Flower visiting record: <I>Melaleuca</I> L. [Myrtaceae].
312=	4	Flower visiting record: aster.
312=	4	Forest, woodland, leaf litter.
312=	4	Found sunbasking on ground, rocks and low foliage.
312=	4	Free living.
312=	4	From <I>Ac. aneura</I>.
312=	4	In Asteraceae.
312=	4	In Fabaceae.
312=	4	In Poaceae.
312=	4	In dead coral.
312=	4	In dry sclerophyll forest.
312=	4	In rotten logs.
312=	4	In sand.
312=	4	In seed heads.
312=	4	In woody galls on <I>Casuarina</I> [Casuarinaceae].
312=	4	Larva boring in stem. Larval foodplant: <I>Eucalyptus</I> sp. (Myrtaceae).
312=	4	Larva in mammal scat. Larval food: scat of <I>Phascolarctos cinereus</I>—Koala.
312=	4	Larva tying green leaves with silk. Larval foodplant: green leaves of <I>Eucalyptus</I> sp. (Myrtaceae).
312=	4	Larvae and females unknown, possibly myrmecophilous.
312=	4	Larval food plants are grasses (Poaceae).
312=	4	Larval food/attendant ants not recorded.
312=	4	Lives in spiral-shaped burrows and feeds on <I>Eucalyptus</I> spp. [Myrtaceae] leaf litter collected from ground surface, females exhibit lengthy parental care of young in burrow.
312=	4	Mainly cattle dung.
312=	4	Male and female brachypterous.
312=	4	Male and female volant.
312=	4	Male volant and mesopterous, female flightless and mesopterous.
312=	4	Male volant*, female flightless.
312=	4	NULL
312=	4	Notophyll vine forest.
312=	4	On rocks in flowing water.
312=	4	Opportunistic breeder, free-living tadpole.
312=	4	Permanent streams.
312=	4	Prey Blattodea (Blattidae) (cockroaches).
312=	4	Prey Orthoptera, nest in pre-existing cavity.
312=	4	Prey Orthoptera, nest may be in pre-existing cavity.
312=	4	Prey spiders, nest in ground.
312=	4	Rainforest streams.
312=	4	Saltatorial, seasonal breeder in lotic freshwater, free-living tadpole.
312=	4	Shallow water, reefs.
312=	4	Social insects, living in large colonies, with female reproductive and worker castes, nests of wax and resin.
312=	4	Social, nest unknown, diet primarily weathered wood, slight economic importance.
312=	4	Social, nests in mounds, diet dry grass, plant detritus.
312=	4	Stream, rainforest.
312=	4	Stream, riverine*.
312=	4	Taken by pyrethrum knockdown, possible inquiline.
312=	4	Tall forest, under logs and rocks.
312=	4	Tall forest, under rocks.
312=	4	To 10 metres.
312=	4	To 15 metres.
312=	4	To 180 m.
312=	4	To 40 metres.
312=	4	To 64 metres.
312=	4	To 70 m.
312=	4	To 8 m.
312=	4	Under stones in shallow water.
312=	4	Vine thickets.
312=	4	Viviparous, general carnivore.
312=	4	Williams & Williams (1983) recorded this species from <I>Angophora hispida</I> and <I>Leptospermum flavescens</I>.
312=	4	Wings abbreviated, flightless.
312=	4	cryptozoic; possibly mycetophagous
312=	4	in gizzard
312=	4	in intestine
312=	4	male and female mesopterous.
312=	4	to 60 m
312=	4	to 70 m
418=	3	0-10 m.
418=	3	1-100 m.
418=	3	1-12 m.
418=	3	1-75 m.
418=	3	10-50 m.
418=	3	100-200 m.
418=	3	1000 m depth.
418=	3	100–350 m.
418=	3	15-20 fathoms (approx. 27.5-36.6 m).
418=	3	15–30 m.
418=	3	17-20 fathoms (approx. 31.1-36.6 m).
418=	3	17-20 fathoms (approx. 31.1-36.6m).
418=	3	1–30 m.
418=	3	2-100 m.
418=	3	20 m.
418=	3	20-50 m.
418=	3	20–100 m.
418=	3	25-60 m.
418=	3	3-20 m.
418=	3	3-35 m.
418=	3	5-50 m.
418=	3	5-60 m.
418=	3	50-100 m.
418=	3	500–1000 m.
418=	3	55 fathoms (approx. 100.6 m).
418=	3	5–50 m.
418=	3	8 fathoms (approx. 14.6m).
418=	3	<I>Lagerstroemia speciosa</I> (Lythraceae) is introduced.
418=	3	Abundant in both marine and inland terrestrial habitats.
418=	3	Among rocks.
418=	3	Anuriphagous, lacertiphagous.
418=	3	Associated with echinoids.
418=	3	Byssally attached by right valve.
418=	3	Cleptoparasitic, probably on <I>Amegilla</I>.
418=	3	Collected in moss.
418=	3	Commensal with crinoids.
418=	3	Depth 0.75–18 m.
418=	3	Depth 0.75–5.5 m.
418=	3	Depth 10–40 m.
418=	3	Depth 11–34 m.
418=	3	Depth 15 m.
418=	3	Depth 244 m.
418=	3	Depth 385 m.
418=	3	Depth 3–30 m.
418=	3	Depth 4636 m.
418=	3	Depth 50 m.
418=	3	Depth 59 m.
418=	3	Depth 60 m.
418=	3	Depth 68 m.
418=	3	Depth subtidal–18 m.
418=	3	Depth to 10 m.
418=	3	Depth to 35 m.
418=	3	Depth to 60 m.
418=	3	Depth to about 20 m.
418=	3	Depth: intertidal; substrate: sand.
418=	3	Diet also includes cephalopods.
418=	3	Down to 500 m depth.
418=	3	Egg capsules/masses benthic.
418=	3	Feeds on bottom muds of pools, probably re-suspending it (Timms 2006, unpublished observations).
418=	3	Female brachypterous, male volant.
418=	3	Female brachypterous/apterous, male volant.
418=	3	Flower gall-former.
418=	3	Flower visiting record: <I>Calothamnus</I> Lab. [Myrtaceae].
418=	3	Flower visiting record: <I>Conospermum</I> Sm. [Proteaceae].
418=	3	Flower visiting record: <I>Dipteracanthus</I> Nees [Acanthaceae], <I>Eremophila</I> R.Br. [Myoporaceae].
418=	3	Flower visiting record: <I>Frankenia</I> L. [Frankeniaceae].
418=	3	Flower visiting record: <I>Stylidium</I> Willd. [Stylidiaceae].
418=	3	Flower visiting record: <I>Xanthorrhoea</I> Sm. [Xanthorrhoeaceae].
418=	3	Flower visiting records: <I>Eucalyptus</I> L'Hérit. [Myrtaceae].
418=	3	Foliage frequenter.
418=	3	Forest.
418=	3	Forms flat lerps.
418=	3	Found on leaves, roots, wood and stones.
418=	3	From 0 m.
418=	3	From <I>Ac. catenulata</I>.
418=	3	From <I>Ac. pendula</I>.
418=	3	From <I>Acacia</I> sp.
418=	3	From coral heads.
418=	3	From sand and detritus.
418=	3	Garden.
418=	3	Gardens.
418=	3	Graminivore.
418=	3	Gravel pit.
418=	3	Halotolerant.
418=	3	Host unknown.
418=	3	In algae.
418=	3	In and under logs in dry sclerophyll woodland.
418=	3	In leaf-litter.
418=	3	In nest webs of spider, <I>Badumna candida</I> [Amaurobiidae].
418=	3	In old rotten fallen timber without bark, on underside of logs in crevices and cracks.
418=	3	In ponds heated by discharge from Hazelwood power station.
418=	3	In rainforest.
418=	3	In rockpools.
418=	3	In tussocks.
418=	3	Intertidal.
418=	3	Larva found in lentic and seasonally lotic habitats.
418=	3	Larva in silked dead leaves. Larval foodplant: dead leaves of <I>Eucalyptus</I> sp. (Myrtaceae).
418=	3	Larvae and males unknown.
418=	3	Larvae in fallen logs.
418=	3	Larvae often in colonies.
418=	3	Larval food plants, Poaceae.
418=	3	Larval foodplant: <I>Casuarina</I> sp. (Casuarinaceae).
418=	3	Littoral
418=	3	Male volant and mesopterous, female brachypterous.
418=	3	Male volant, female flightless, female ant mimic.
418=	3	Mulga (<I>Acacia aneura</I>) and other <I>Acacia</I> spp.
418=	3	Nest in rotting wood.
418=	3	Notophyll vine forest, under logs.
418=	3	Nymph might be phloem feeder or fungivore.  
418=	3	Occurs throughout the year.
418=	3	On bushes.
418=	3	On grasses.
418=	3	On grassy vegetation.
418=	3	On macrophytes.
418=	3	On open coasts.
418=	3	On roots.
418=	3	On submerged macrophytes.
418=	3	On surface near mangroves.
418=	3	Open areas, pastures, mainly cattle dung, telecoprid.
418=	3	Opportunistic breeder, gardens and farms, nests in trees and shrubs.
418=	3	Opportunistic breeder, ground-living seed-eater in stony country with permanent water and spinifex (<I>Triodia, Plectrachne</I>), flushes explosively with flap-and-glide flight, drinks in groups, roosts in coveys on ground, nests on ground.
418=	3	Parasite from intestine.
418=	3	Parasite from large intestine.
418=	3	Parasite from subcutaneous connective tissue.
418=	3	Parasite from terminal bronchioles of lung.
418=	3	Pasture.
418=	3	Pest of mushroom cultivation.
418=	3	Possible inquiline.
418=	3	Preferred host <I>Rattus fuscipes</I>.
418=	3	Prey Orthoptera (Gryllotalpidae), no nest constructed.
418=	3	Prey Orthoptera (Tettigoniidae).
418=	3	Prey spiders, nest using mud in pre-existing cavity in wood.
418=	3	Primarily anuriphagous.
418=	3	Rainforest.
418=	3	Record from Karri forest.
418=	3	Record from light trap.
418=	3	Record from rainforest.
418=	3	Record from under stones.
418=	3	Recorded from algae.
418=	3	Records from rainforest.
418=	3	Restricted to the marine littoral zone and strictly coastal habitats.
418=	3	Riverine lagoon, larva unknown.
418=	3	Riverine*.
418=	3	Rock crevices.
418=	3	Rubble fauna.
418=	3	Sandy substrates.
418=	3	Seagrass beds.
418=	3	Seasonal breeder, free-living tadpole, general carnivore.
418=	3	Seasonal breeder.
418=	3	Seaweed.
418=	3	Sheet web.
418=	3	Sheltered shore, under rocks and wood, on mud or muddy sand substrates.
418=	3	Silty inshore areas.
418=	3	Small fast flowing creeks.
418=	3	Small, fast flowing mountain streams.
418=	3	Social, known only from alates taken at light.
418=	3	Social, nest unknown, apparently subterranean, diet weathered wood, plant detritus.
418=	3	Social, nests in logs, stumps and dead scar tissue.
418=	3	Soft bottom, 40 m depth.
418=	3	Soft bottom, stones and sand.
418=	3	Sponge associate.
418=	3	Stream*, riverine.
418=	3	Streams, boggy seepages, larva unknown.
418=	3	Streams, mostly small.
418=	3	Streams, rainforest.
418=	3	Suburban cultivated.
418=	3	Sylvan.
418=	3	Symbiotic in branching corals (particularly Pocilloporidae).
418=	3	Symbiotic with <I>Acropora</I> coral species.
418=	3	Symbiotic with branching coral (<I>Pocillopora</I> species).
418=	3	Terrestrial, predator.
418=	3	To 12 metres.
418=	3	To 120 m.
418=	3	To 165 m (see Lamprell & Healy 1998)
418=	3	To 20m.
418=	3	To 22 m.
418=	3	To 220 m.
418=	3	To 24 m.
418=	3	To 25 metres.
418=	3	To 27 metres.
418=	3	To 350 m.
418=	3	To 400 m.
418=	3	To 50 m depth.
418=	3	To 500 m.
418=	3	To 54 m.
418=	3	Under bark.
418=	3	Under logs and rocks.
418=	3	Usually solitary.
418=	3	Weed bottoms.
418=	3	Wet sclerophyll forest, temperate rainforest, under stones.
418=	3	Williams & Williams (1983) recorded this species from <I>Angophora hispida</I>.
418=	3	Wing polymorphism.
418=	3	Winter dormant, seasonal breeder, free-living tadpole.
418=	3	arboreal; herbivore
418=	3	byssally attached
418=	3	collected in litter
418=	3	dry woodland
418=	3	littoral vegetation
418=	3	living on limestone karst or on leaves in the litter
418=	3	rainforest; ex litter
418=	3	to 110 m
418=	3	to 365 m
418=	3	to 64 m
621=	2	'probably corticolous'.
621=	2	(under bark).
621=	2	0-2 m
621=	2	0-2 m.
621=	2	0-4 m.
621=	2	0-5 m.
621=	2	0–4 m.
621=	2	0–5 m.
621=	2	1-150 m.
621=	2	10-100 m.
621=	2	10-20 fathoms (approx. 18.3-36.6m).
621=	2	10-250 m.
621=	2	100-250 m.
621=	2	100-400 m
621=	2	100–600 m.
621=	2	1090–1160 m.
621=	2	10–40 m.
621=	2	10–50 m.
621=	2	10–60 m.
621=	2	10–70 m.
621=	2	10–80 m.
621=	2	110 m depth.
621=	2	1175–1205 m.
621=	2	1219 m alt.
621=	2	130 m.
621=	2	15-50 m.
621=	2	15-70 m
621=	2	1500 m depth.
621=	2	150–300 m.
621=	2	15–20 m.
621=	2	1640-2000 m.
621=	2	1–15 m.
621=	2	1–30 m
621=	2	1–40 m.
621=	2	2-10 fathoms (approx. 3.7-18.3m).
621=	2	2-40 m.
621=	2	2-50 m.
621=	2	2-70 m.
621=	2	20 fathoms (approx. 36.6m).
621=	2	20-150 fathoms (approx. 36.6-274.4 m).
621=	2	200–204 m.
621=	2	200–320 m.
621=	2	200–600 m.
621=	2	20–80 m.
621=	2	2–50 m.
621=	2	3-240 m.
621=	2	3-30 m.
621=	2	3-45 m.
621=	2	3-60 m.
621=	2	30-35 fathoms (approx. 54.9-64 m).
621=	2	30-35 fathoms.
621=	2	30-40 m.
621=	2	30–200 m depth.
621=	2	35 m depth.
621=	2	35 m.
621=	2	35-150 m.
621=	2	40-100 fathoms (approx. 73.2-183m).
621=	2	40–80 m.
621=	2	4–18 m depth.
621=	2	5-10 fathoms (approx. 9.2-18.3m).
621=	2	5-150 m.
621=	2	5-25 m.
621=	2	5-8 fathoms (approx. 9.2-14.6 m).
621=	2	50 m depth.
621=	2	50-200 m.
621=	2	500-1000 m depth.
621=	2	500-3000 m.
621=	2	503 m depth.
621=	2	50–140 m.
621=	2	50–200 m.
621=	2	5–13 m.
621=	2	5–150 m.
621=	2	5–60 m.
621=	2	6-9 fathoms (approx. 11-16.5 m).
621=	2	69-73m.
621=	2	8-30 m.
621=	2	8–10 m depth.
621=	2	8–80 m.
621=	2	900 m.
621=	2	<I>Ac. oswaldii </I>(including as <I>Ac. sessiliceps</I>).
621=	2	<I>Eucalyptus</I> litter and moss.
621=	2	<I>Litchi chinensis</I> (Sapindaceae) is introduced.
621=	2	?rectangular lerps.
621=	2	Adjacent weed beds.
621=	2	Adults attracted to lights.
621=	2	Adults beaten from <I>Leptospermum</I> sp. (Myrtaceae).
621=	2	Adults occur in swarms.
621=	2	Adults on flowers.
621=	2	Algae substrate.
621=	2	Algae, 3–4 m depth.
621=	2	Algae, seagrass and sand.
621=	2	Algal holdfasts, coralline algae, in sand and crevice fauna.
621=	2	Algal-borer, algae not known.
621=	2	Also at sea around floating debris.
621=	2	Among eel grasses, see Lamprell & Healy 1998
621=	2	And debris.
621=	2	Arboreal roosts.
621=	2	Around bases of live coral or under slabs of dead coral.
621=	2	Associated with algae.
621=	2	Associated with coral (<I>Pocillopora</I>).
621=	2	Associated with coral.
621=	2	Associated with corals of the genus <I>Acropora</I>.
621=	2	Associated with crinoids.
621=	2	Associated with plant debris and submerged weeds.
621=	2	Associated with spider webs.
621=	2	At wallaby dung.
621=	2	Attach to large fish.
621=	2	Attracted to underwater light, 17 m depth.
621=	2	Attracted to underwater light, 5.5 m depth.
621=	2	Attracted to underwater light, 6 m depth.
621=	2	Attracted to underwater light.
621=	2	Australian host <I>Kogia breviceps</I> (De Blainville, 1838).
621=	2	Ball roller.
621=	2	Banks above high tide, burrow with trapdoor.
621=	2	Benthic, continental slope.
621=	2	Blood-feeder and feather-feeder.
621=	2	Boggy seepages.
621=	2	Boring in soft rocks (Japan).
621=	2	Bromeliaceae.
621=	2	Brooks (1948) recorded this species from flowers of <I>Alphitonia excelsa.</I>.
621=	2	Brooks (1948) recorded this species from flowers of <I>Eucalyptus gummifera</I> and <I>E. torrelliana</I>.
621=	2	Brooks (1969) listed this species from Burdekin Plum (<I>Pleiogynium cerasiferum</I>, Anacardiaceae).
621=	2	Buried in shallow, littoral sand.
621=	2	Burrow with no trapdoor.
