rank	count	Locality
65	188	Finke Gorge National Park, Palm Valley
66	187	Kalbarri National Park, 37.7 km E Kalbarri
67	186	22 km W of Retreat &#40;35 km E Manilla&#41;
68	185	Kalbarri National Park, 22.9 km E Kalbarri
69	184	Augusta
70	182	3.5 km S of Mt. Chudalup, D'Entrecasteaux National Park
71	180	8.2 km E of Mungallala
72	179	Fowlers Camp &#40;at end of Fowlers Camp Rd&#41;, Shark Bay World Heritage Area
73=	176	Cosy Corner Beach East, Torbay Sound, W of Albany
73=	176	Pallarup Nature Reserve, 1.4 km W of Lake King-Ravensthorpe Road
75	175	13 km S of Kaniva
76	171	67 km E of Stuart Hiway on Arltunga Stn Rd
77=	170	11 km S of Eneabba, Eneabba National Park [96-50]
77=	170	Wau
79=	168	1 km S of Lillian Stoke Rock
79=	168	Pilbara Dist., 21 km NW of Tom Price
81	167	5 km E of Cann River, Reedy Creek
82	166	15 km W of Regan's Ford on Orange Springs Road
83	165	ca. 1 km S of Murchison House HS, Kalbarri National Park
84=	162	Witchelina Nature Reserve, ap. 40 km NW of Lyndhurst
84=	162	jct of Namatjira Drive and Gosse Bluff track
86=	161	1 km N of Innamincka, Cooper Creek
86=	161	49 km S of Kambalda Road Jct. on Coolgardie-Esperance Hiway
86=	161	Kalbarri National Park, 12.6 km E  Kalbarri
89=	160	25.3 km NW of Bond Springs on Tanami Rd
89=	160	Chesapeak Road, 47.2 km W of Broke Inlet Road
91=	159	1 km E of Grey Rd on Ajana Rd, on southern boundary of Kalbarri National Park
91=	159	Kokoda
93	158	15 km S of Bews
94	157	17.6 km S of Innamincka
95	153	52 km SW of Yunta
96=	150	Cape Arid National Park, Thomas River Campground
96=	150	Ellis Brook  Valley Reserve
96=	150	Sloping Rocks, Leeuwin Naturaliste NP
99	149	Dala
100	148	3.2 km S of Eneabba on Brand Hiway
101=	146	27.6 km N of Coral Bay Rd on Cardabia-Ningaloo Rd
101=	146	53.9 km N of Kalgoorlie
103=	145	54.3 km N of jct of Agana Kalbarri Rd and Brand Hiway &#40;rest area&#41;
103=	145	Perth, Western Australian Herbarium
103=	145	Wilsons Promonotory National Park, Sqeaky Bay trail, opposite Lilly Pilly car park
106	144	Lombok Island, Senaru, track to Rinjani
107=	143	135 km W of Coolgardie on Great Eastern Hiway
107=	143	66-69 km NW of Morgan, Cane Grass
109	141	Hellfire Bay, Cape Le Grande National Park
110	138	adjacent to N boundary of Lake Shaster Nature Reserve
111	137	Jeparit Environmental Park
112	136	Kingston, Welcome Inn grounds just E of A6
113	134	Mount Kaindi
114	133	Little Desert National Park, Stans Camp Track
115=	131	67km W of Mt. Garnet, Forty Mile Scrub National Park picnic area
115=	131	72 km N of Yunta, Nillinghoo Creek
115=	131	Camp Lookout, Dumaguete, Negros Island
115=	131	Pallarup Nature Reserve, 2.5 km W of Lake King-Ravensthorpe Road
119=	130	Henbury Station: 10km W of Henbury Homestead
119=	130	Lillian Stoke Rock
121=	129	4.5 km NW of jct of Blowholes Rd and North West Coastal Hiway, N of Carnarvon
121=	129	Yathong Nature Reserve
123	128	2.5 km W of Brand Hiway &#40;off Red Emperor Rd&#41;, Flat Rocks Beach &#40;S of Geraldton&#41;
124=	127	74.2 km NW of Bond Springs on Tanami Rd
124=	127	Cadelga Homestead
126=	125	13.5 km E of Stuart Hiway on Horseshoe Bend Rd
126=	125	75.7 km W of Windorah
126=	125	~ 44 km W of Stuart Hiway on Ernest Giles Rd
129=	124	77 km E of Gundagai, Hume Highway
129=	124	78 km S of Alice Springs at jct of Rainbow Valley Rd and Stuart Hiway
131=	121	31.7 km W of Agnew toward Sandstone
131=	121	Kira Kira
131=	121	West Beach, Fitzgerald River National Park
134	120	Bournda National Park, North Wallagoot, Turingal Head
135=	119	4.3 km N of Peak Charles National Park
135=	119	8.2 km E of Indian Ocean Rd on Coorow-Greenhead Rd, Lesuer National Park
135=	119	Lake Magenta Road, 4 km N of South Coast Hiway
138=	118	20 km E of Retreat &#40;W. of Uralla&#41;
138=	118	8.8 km N of Mt Wedge Stn Rd jct on Tanami Rd
140	117	Kings Canyon, Watarrka National Park
141=	116	10.3 km W of Quondong Vale
141=	116	184 km W of Stuart Hiway on Lasseter Hiway
143=	115	2 km E of Nungarin on Rt 50
143=	115	9.5 km E of Balranald on Sturt Hwy
145	114	Peak Charles National Park Campground
146=	113	Little Desert National Park, 23 km E on McDonald Hiway
146=	113	Poison Creek Beach, Cape Arid National Park
148=	112	33 km E of Alice Springs on Ross Hiway
148=	112	North Beach, Wallaroo
150=	111	27.8 km S of Varley
150=	111	Booti Booti National Park, jct Lakes Way and Green Point
150=	111	Cape Leeuwin
153	110	Munmorah State Rec. Area
154=	109	Roroni, 35 km E. of Honiara
154=	109	just E of Lake King
156=	108	92.5 km W of Coolgardie at east side of Boorabbin National Park on Great Eastern Hwy
156=	108	Wyperfeld National Park, Moonah Track
158=	107	82.6 km NW of Quilpie
158=	107	Near Gnarabup Beach
158=	107	Warrumbungle National Park, Wambelong Campground
161=	106	41.5 km NW of Morgan
161=	106	Mosman Park, Perth, trail b/w Minum Cove Park and Chidley Point Reserve
163=	105	Exmouth &#40;waste area behind sand-dune&#41;, Truscott Crescent &#40;opposite Pony Club&#41;
163=	105	Fitzgerald River National Park, East Mylies Beach
165=	104	13.5 km W of Nungarin on Rt 50
165=	104	Mt Serle district &#40;near Gammon Ranges National Park&#41;
167	102	Tarraleah Power Station grounds, on A10, NW of Hamilton
168=	101	4 km SW of Poison Creek Beach, Cape Arid National Park
168=	101	54 km W of Mt. Isa on Barkly Highway
170=	100	11 km S of Eneabba on Brand Hiway, Eneabba Reserve
170=	100	26 km SE of jct of Manga Rd and Shark Bay Rd, Shark Bay World Heritage Area
172=	98	115.4 km E of Norseman
172=	98	Kinchega National Park, Cawndilla Campground
174	96	Morton National Park, New Haven Gap
175=	95	20.6 km S of Norseman-Lake King Road on Lake King-Cascades Road
175=	95	Brand Hiway 18.8 km S of jct with Cervantes Rd
175=	95	Moorine Rocks, 11.7 km N of Great Eastern Hiway on Noongar Road
175=	95	NW Coastal Hiway 58 km N of Kalbarri Road
179	93	Brand Hiway at Rocky Springs Road
180	92	39.7 km N of Ravensthorpe
181=	91	12.6 km E of Meedo Homestead on Pimbee Rd, near Meedo Homestead
181=	91	24.7 km W of Mitchell
181=	91	St. Forest W of Ulladulla, above Carters Creek
184=	90	120 km E of Norseman
184=	90	NW Coastal Hiway 61.7 km N of Kalbarri Rd
186=	89	20 km W of Nepabunna, Mt. Serle
186=	89	24 km W of Sandstone
188=	88	17 km E of Nepebunna, Gammon Ranges National Park
188=	88	Hiway 1 at Preston Beach Road
190	87	Wilsons Promonotory National Park, Darley River area
191	86	Lombok Island, nr Senaru
192=	85	49.1 km N of Norseman
192=	85	Leeuwin Naturaliste National Park, Canal Rocks
194=	84	17 km NNW Alice Spring
194=	84	6 km NW of Hat Head, near Kempsey
196	83	Mt. Field National Park, Russell Falls Visitor Centre
197	82	91.4 km SE of Southern Cross
198=	80	23 km W of Wilcannia on Barrier Hiway
198=	80	48.6 km NW of Charleville
198=	80	Dumoga-Bone National Park, Plot A, Fog 13
201=	79	0.5 km SE of Couta Rocks: 'Murphy's Spring', terminus of C214, Mick Murphy's House
201=	79	58km W of Mt. Garnet, Forty Mile Scrub National Park
201=	79	9.6 km W of Mitchell
201=	79	Charles Darwin Reserve, Wanarra Rd at breakaway
201=	79	Greenough River Mouth
206=	78	0.5 km NW of Southwest National Park &#40;Maydena access&#41;: Huon Campground, off of Scotts Peak Rd
206=	78	Para Wirra National Park
208=	77	5 mi W of Kellerberrin
208=	77	57km W of Mt. Garnet, Forty Mile Scrub
208=	77	Brisbane
208=	77	River Tor &#40;mouth&#41; 4km E of Hol Maffen
212=	75	33.9 km NW of Kings Canyon Resort, Watarrka National Park
212=	75	7.5 km N of Mt. Chudalup, D'Entrecasteaux National Park
214	74	Kulumadau
215	73	43 km N of Norseman
216=	72	60 km W of Coolgardie on Great Eastern Hiway
216=	72	Black Mountain
216=	72	Hobart
219=	71	17.5 km E of Stuart Hiway on Horseshoe Bend Rd
219=	71	34km SW Bourke toward Louth
219=	71	4 km S of bridge on Merri Merri Ck, 'Hughendon' Station
219=	71	Honiara
219=	71	Oriomo River
219=	71	Redlands
219=	71	ca. 107.7 km SE of North West Coastal Hiway, on Mardathuna Rd &#40;W of Kennedy Range National Park&#41;
226=	69	10 km S of Toowoomba, Preston Road
226=	69	Lombok Island, Senaru, Panorama track to Sendang Gila Waterfall
226=	69	Monga State Forest, 3 km up Milo Rd
226=	69	Pilbara Dist., Hillside-Marble Bar Rd, 66.1 km SW of Marble Bar
230=	68	10.3 km N of South Coast Hiway on North Walpole Road toward Mt. Frankland
230=	68	35.4 km W of Uluru at Kata Tjuta jct on Lasseter Hiway
230=	68	Myall Lakes National Park, 10.3 km S Seal Rocks Rd on Hawks Nest Rd
230=	68	Royal National Park
230=	68	ca. 11.3 km W of Herberton, on Herberton-Petford Rd
235=	66	15 km E of Merredin
235=	66	21 km W of Stuart Hiway on Ernest Giles Rd
235=	66	Abaleti, 0-50 m
235=	66	Brand Hiway 3.2 km S of Rocky Springs Road
235=	66	Vunabakan, 10 Km East of Keravat.
240=	65	Perth
240=	65	Vila, Efate Is,  0-100 m
242=	64	11km S of Eneabba, Eneabba National Park
242=	64	13 km E of Southern Cross
242=	64	Murray Sunset National Park, Lost Hope Track
245=	63	0.5 km N of, Cradle Mountain - Lake St. Clair National Park, boat ramp: Visitor Centre
245=	63	Molao
247=	62	13.5 km S of Regan's Ford
247=	62	150.5 km N of Ripon Hills Rd on Marble Bar - Newman Rd
247=	62	26.8 km W of Tanami Rd on Mt Wedge Station Rd
247=	62	Stokes Inlet, Stokes National Park
251=	61	45 km N of Quilpie
251=	61	Baku Forest Stn
253=	60	Bellenden Ker Ra, summit TV Stn
253=	60	Brogo River, Pacific Hiway 15 km N of Bega
253=	60	Point Rd Campground. Leeuwin Naturaliste National Park
253=	60	jct of Stuart Hiway and Horseshoe Bend Rd
257=	59	38 km WNW of Carinda toward Brewarrina
257=	59	Blowholes Rd NW of North West Coastal Hiway, Beagle Hill Area
257=	59	Rossiter Bay, Cape Le Grande National Park
257=	59	Walpole-Nornalup National Park just W of Walpole
261=	58	2.3 km E of Esperance on Fisheries Road
261=	58	Camp Lookout, Dumaguete
261=	58	~ 66 km N of Lasseter Hiway on Luritja Road
264=	57	Bismarck Isl. Dyaul, Sumuna
264=	57	Kalbarri National Park, Meanarra Hill
264=	57	Nabire, S. Geelvink Bay
267=	56	2 mi S. Tammin
267=	56	Tozer Range, Cape York Peninsula
269=	55	25 km ESE of Onslow
269=	55	39 km E of Lake King
269=	55	Bweinaniawarikiapu
269=	55	Cervantes
273=	54	Aoupinié Sawmill
273=	54	Forest Grove Road, 0.9 km E of Caves Road
275=	53	3.5 km N of Mt. Chudalup, D'Entrecasteaux National Park
275=	53	37 km W of Retreat &#40;20 km E Manilla&#41;
275=	53	Henbury Station, Claypan, 20.7km SE from Henbury Homestead
278=	52	12 km E of Nepabunna, Gammon Ranges National Park
278=	52	Kevill Road, 4 km W of Margaret River
278=	52	Salmon Beach &#40;headland&#41;, D'Entrecasteaux National Park, Windy Harbor
281=	51	2.1 km S of Coorow-Greenhead Rd, on Cockleshell Gully Rd
281=	51	5 km N Yunta toward Arkaroola
281=	51	66.2 km E of North West Coastal Hiway on Mardathuna Rd
281=	51	92 km SW Bourke toward Louth &#40;4 km E of Louth&#41;
281=	51	Mount Keira
281=	51	Narrabri
287=	50	9 km WSW of Adavale
287=	50	Donggali Cons. Park, 30.1 km S of Oakbank
287=	50	Kuranda
287=	50	National Park
291=	49	18 km W of York
291=	49	38.1 km S of Bews, Ngarkat Cons. Park
291=	49	Charles Darwin Reserve, Samphire Camp
291=	49	Euglo Dam
295	48	3.6km NW of Henbury Homestead, 1.5km W from Stuart highway towards 3 Mile Creek
296=	47	13 km SE of Dunbar
296=	47	3 km S of Kojonup, Sampson Road
296=	47	31.3 km N of Ravensthorpe
296=	47	77.2 km E of Broken Hill on Barrier Hiway
296=	47	Bogan River
301=	46	10km E of Mareeba, jct of  Kennedy Hwy &#38; Kay Rd
301=	46	13.2 km N of jct of Agana Kalbarri Rd and Brand Hiway, Galena River Bridge
301=	46	2.9 km W of Nyngan
301=	46	75 km NW of Morgan, 5 km N Cane Grass
301=	46	Buala
301=	46	Little Desert National Park, East end of McDonald Hiway
301=	46	Useless Loop Rd ca. 20 km W of jct with Shark Bay Rd
308=	45	14.6km W of Paluma
308=	45	20km W of Mossman on Mt Molloy Road
308=	45	26.1km W of Mt. Garnet
308=	45	Cape York Peninsula, 24.5km SE of Laura
312=	44	15 km from Tom Price on WNW directed track leading to Nanutarra - Wittenoom
312=	44	25 km E of Curtin Springs on Lasseter Hiway
312=	44	9 km E of Lake King
312=	44	Kukum
316=	43	14 km N of Gingin
316=	43	19.7 km E of 'Onslow Rd' on Nth Coast Hwy
318=	42	0.4 km W of Caves Road on Boranup Drive, Leeuwin Naturaliste National Park
318=	42	1 km S of Riverton
318=	42	25 km E of Copely, Flinders Range
318=	42	5.9 km E of Mitchell
318=	42	Bullock Creek, Camfield Homestead
318=	42	Coonamble-Trembone Rd., 2.4 km N of Gilgooma toff, 'Billeroy' Station
318=	42	Tantawangalo State Forest
318=	42	Witchelina Nature Reserve, Tea Tree Swamp
326=	41	49 km S Eneabba, Coomallo Rest Area, jct of Brand Hiway and Jurien East Rd
326=	41	6 km N of Sturt Hiway, Mt. Mary Road
326=	41	Booti Booti NP
326=	41	Cotabato: General Santos
326=	41	Credo Station, Emu Rock
326=	41	Little Desert National Park, McDonald Highway
326=	41	NW Coastal Hiway 80.7 km N of Kalbarri Rd
326=	41	Pemberton
326=	41	Royal National Park, Warumbul Picnic Area
326=	41	Strathgordon, Lake Pedder Chalet
326=	41	Wollemi National Park, Glowworm Tunnel Rd, 21 km N of Bungleboori Picnic Area
337=	40	18 km S of Dongarra on Brand Hiway
337=	40	41.8 Km W of Hattah, Murray Sunset National Park
337=	40	Araluen
337=	40	Bunya Mountains
337=	40	Mt. Pine [Pine Lake]
342=	39	119.9 km E of Broken Hill on Barrier Hiway
342=	39	700 m N of turnoff to 'Wyndabyne' Station on Warren-Quambone Rd
342=	39	Abaleti, SSW of Mount Rossel
342=	39	Brodribb River, 64 km W of Cann River
342=	39	Pallarup Nature Reserve, west side
342=	39	Upokorau Valley, 15 km W Takou Bay, Northland
348=	38	18 km S of Bews, Ngarkat Cons. Park
348=	38	Calian &#40;Kalian&#41;, Mindanao Island
348=	38	Ku-Ring-Gai Chase National Park, West Head Rd.
348=	38	Trephina Gorge National Park, John Hayes Rockpool Campground
352=	37	12.5 km E of Martins Well
352=	37	Dumaguete, Camp Lookout
352=	37	Ku-Ring-Gai Chase National Park, McCarrs Creek, West Head Rd.
352=	37	Lombok Island, Senaru, track to waterfalls
352=	37	Mandu Mandu Gorge, Cape Range National Park
352=	37	Southwest National Park &#40;Maydena access&#41;: Edgar Campground on Scotts Peak Rd
352=	37	Whiteman Park, Perth
352=	37	Witchelina Nature Reserve, ap. 40km NW of Lyndhurst
352=	37	~ 38 km N of Lasseter Hiway on Luritja Road
361=	36	12 km N of Cradle Valley on Iris River
361=	36	20 km NW of Innamincka, Innamincka Reg. Res.
361=	36	3.9 km E of Indian Ocean Rd on Coorow-Greenhead Rd, Lesuer National Park
361=	36	4 km W of Lillian Stoke Rock
361=	36	Mamai Platn., E of Prt Glasgow
361=	36	nr. Jarrahdale, Serpentine Dam
367=	35	2 km S of Springdale Road on Munglinup Beach Road
367=	35	42.5 km N of Kojonup
367=	35	58 mi E of Nullarbor
367=	35	Cremorne St, Herne Bay, Auckland
367=	35	Herberton, along the Herberton/Atherton Hwy
367=	35	Malmalwan-Vunakanau, Gazelle Pen.
367=	35	Yahoué
374=	34	12 km E of Tabulam, 1km N of Bruxner Hiway, W of Culmaran Ck Rd
374=	34	Hidden Valley, 20 km west of Paluma
374=	34	Sukapisu
374=	34	Temple Bar Gap
378=	33	15 km NW of Northampton, on Port Gregory Rd &#40;toward Gregory&#41;
378=	33	67 km N of Port Augusta
378=	33	Bismarck Isl. Manus, Lorengau
378=	33	Bowling Green Bay National Park, Alligator Creek Campground
378=	33	Gladstone
378=	33	Paripao
378=	33	Penshurst Railway Station, south side
378=	33	Point Rd Campground. Leeuwin Naturaliste National  Park
378=	33	Witchelina Nature Reserve, Witchelina Homestead
387=	32	10.8 km NW of Charleville
387=	32	17 km N of Bega
387=	32	193 km W of Stuart Hiway on Lasseter Hiway
387=	32	79 km W of Sandstone
387=	32	Avoca Picnic Area, just NW of A4
387=	32	Hammersley Inlet Campground
387=	32	Launceston
387=	32	Lennox Head
387=	32	Pilbara Dist., Millstream Chichester Range National Park, Python Pool
387=	32	Rydalmere, near Sydney
387=	32	Wewak
387=	32	Yalgorup National Park, near Martins Tank Campground
399=	31	21 km E of Kalgoorlie near transcon. railroad
399=	31	55.6 km SE of Southern Cross
399=	31	82.2 km W of Agnew toward Sandstone
399=	31	Alice Springs
399=	31	Cairns District
399=	31	Gordon
399=	31	Lower Glenelg National Park
399=	31	Napier
399=	31	Ranau
399=	31	State Forest, Yadburra W of Milton
409=	30	17km E of Mt. Garnet, on Kennedy Hwy
409=	30	3 km E of Retreat &#40;W of Uralla&#41;
409=	30	73.7 km E of Betoota
409=	30	Albury, Botanic Gardens
409=	30	Charles Darwin Reserve, track to Seven Mile Well, N of Wanarra Rd
409=	30	Cradle Mountain - Lake Saint Clair National Park, Visitor Centre, Cradle Mountain
409=	30	Hat Head NationalPark near Kempsey
409=	30	Hinan Bay: Hula River
409=	30	Lowekewou
409=	30	Royal National Park, Lady Carrington Drive
409=	30	Southwest National Park: Cockle Creek, on Whale Walk Track
409=	30	Tanjong Bunga
409=	30	Wateroo National Park
409=	30	Watheroo National Park NW of Watheroo
423=	29	1 km S of Henbury Craters Nature Reserve
423=	29	16 km W of Adavale
423=	29	17 km W of Brand Hiway on Green Head Road
423=	29	25 km S of Gascoyne Junction, on Towrana Homestead Rd
423=	29	40 km N of Ravensthorpe
423=	29	Baulkham Hills, Woodlands St.
423=	29	Dumoga-Bone National Park, Plot A, Fog11
423=	29	Lochada, Kelly Well
423=	29	Scamander, Scamander Caravan Park
432=	28	Albany
432=	28	Charles Darwin Reserve, granite outcrop SW of homestead
432=	28	Coombadjha Crk., Clarence River
432=	28	Friendly Beaches, Freycinet Peninsula
432=	28	Gairava, M'boli passage, Big Nggela
432=	28	Jct of Baillie Rd &#38; Kennedy Hwy, 25km E of Mt Garnet
432=	28	Kings Rd., Federal
432=	28	Mt. Kaputar
432=	28	Myall Lakes National Park
432=	28	Pepele
432=	28	Quarry Bay, Leeuwin Naturaliste NP
432=	28	Royal National Park, Warumbul Road
432=	28	West MacDonnell National Park, Road to Ormiston Gorge
432=	28	Wyrrabalong NP
446=	27	21.5 km N of York
446=	27	22 km N of Carpentaria Hwy &#40;N of Cape Crawford&#41; on Savannah Way
446=	27	27 km W of Retreat &#40;30 km E Manilla&#41;
446=	27	31 km SE of Dunbar
446=	27	4.5km W of Chillagoe
446=	27	Ashton Park
446=	27	Frank Hann National Park, 37 km E of Lake King
446=	27	Kinchega National Park
446=	27	Pindaii Peninsula
446=	27	Sydney
456=	26	143 km WNW of Charleville, Mariala National Park
456=	26	17 km NE of Mingenew on Coalseam Rd
456=	26	Arve River Picnic Ground on C632
456=	26	Baragoot Lake
456=	26	Canns Camp Creek Campground, White Mountains National Park, 36km W of Pentland
456=	26	Maralinga Village
456=	26	Mt Khogis Reserve &#40;walking track&#41;
456=	26	Mt. William National Park, Waterhole
456=	26	Nangarup, Jct. of Doyle Road and Springdale Road
456=	26	ca 40 km N of Eneabba on Brand Hwy
466=	25	12.5 km W of Broke Inlet Road on Chesapeak Road, D'Entrecasteaux National Park
466=	25	6.3km E of Lolworth Homestead
466=	25	72 km N Coonabarabran, 1 km N Big Flat Gully
466=	25	Biniguni, Gwariu River
466=	25	Cape Leeuwin, Leeuwin Naturaliste National Park
466=	25	Col d'Amoss picnic area
466=	25	Cradle Mountain - Lake St Clair Nat Park, Ronny Creek carpark and Little Kate House vicinity
466=	25	Craongingolong National Park, Thurra Campground, Pt. Hicks
466=	25	Les Bois du Sud campground
466=	25	Manipwena, Magoha r.
466=	25	Monga State Forest
466=	25	Mount Lofty
466=	25	Mt. Wellington, The Pinnacle
466=	25	North West Coast Hiway 72 km NE of jct with Blowholes Rd
466=	25	Pilbara Dist., Rhodes Ridge Camp
466=	25	Poindimié
466=	25	Suva
466=	25	Thornton Peak  N of Daintree
466=	25	Undara Volcanic National Park, 8.6km S of Kennedy Hwy
466=	25	Vale Belvoir Conservation Area, 22 km E of junction of Murchison Hwy and C132
466=	25	ca 13 km E of Denmark on South Coast Hiway
466=	25	ca. 18 km N Houialou
488=	24	1 km E of Albany Hiway, North Bannister
488=	24	1 mi ESE of Ooldea
488=	24	16.4 km W of Hermannsburg
488=	24	22.5 km N of jct of Mugaloo Rd and Cardaboo-Ningaloo Rd, Ningaloo Station Campsite
488=	24	39 km NE of King River
488=	24	4.1 km N of Huon Hwy &#38; Pilliger Ave intersection, Mt. Wellington, The Springs
488=	24	Darwin
488=	24	Kadji Kadji, Paradise track
488=	24	Klang gates
488=	24	Maprik
488=	24	Refuge de Farino campground
488=	24	Woronora Dam Picnic Area
500=	23	12 km E of Copely, Flinders Range
500=	23	7 km W of Southwest National Park &#40;Maydena access&#41;: intersection of  Frodsham's Pass and Gordon River Rd
500=	23	Cape York Peninsula, Heathlands Homestead
500=	23	Charles Darwin Reserve, track to White Dam
500=	23	Duke of Orleans Bay, Table Island Picnic Area
500=	23	Mt. Tambourine
500=	23	Myall Lakes NP
500=	23	Yanchep National Park
508=	22	3.7 km SE of Kings Canyon Resort, Watarrka National Park
508=	22	45.3 km NW of Bond Springs on Tanami Rd
508=	22	5.4 km N of Yunta
508=	22	65 km N of Sydney on Pacific Hiway
508=	22	74.8 km E of Yuendumu on Mt Denison-Coniston Rd
508=	22	Deakin
508=	22	Gawler Ranges National Park: ca. 3.7km S of Pine Well
508=	22	Little Desert National Park, Broughton's Waterhole, McDonald Highway
508=	22	Murda SF
508=	22	Pinnacles Desert, Nambung NP
508=	22	Wyndham
519=	21	Acacia Ridge, Brisbane
519=	21	Chute de la Madeleine &#40;Botanical Reserve&#41;
519=	21	Credo Station, off Coolgardie Nth Rd, NE of Three Mile Dam
519=	21	Credo Station, off track between Six Mile Dam and Easter Dam
519=	21	Gunningbland SF
519=	21	Murray Is., Torres Strait Islands
519=	21	Sounwari
519=	21	ca 6.5 km S of Bermagui, Biamanga National Park
519=	21	unknown
528=	20	21.9km E of Chillagoe
528=	20	31 km WNW of Gingin
528=	20	39 km N of Albany, Millinup Road at Chester Pass Hiway
528=	20	7.5 km E of Balladonia Road on Fisheries Road
528=	20	73 km E of Nyngan on Mitchell Hiway
528=	20	Biak Island nr Taman Burung
528=	20	Bulita outstation
528=	20	Cascades
528=	20	Estacao Zootecnica and foot of Mundo Perdido nr Ossu, Timor Portugues
528=	20	Freycinet National Park
528=	20	Jct of Flinders Hwy &#38; Cann Camp Creek Road, White Mountains National Park
528=	20	Keravat
528=	20	Lami, Viti Levu Is
528=	20	Little Desert National Park, west end McDonald Hiway
528=	20	Roebuck Plains, via Broome
528=	20	Sarramea
528=	20	Sentani
528=	20	Tabwemasana Ridge
528=	20	Trephina Gorge, Grevillea Gorge
528=	20	Vella Lavella
548=	19	11km W of Henbury Homestead at Henbury Meteorite craters
548=	19	3 mi NE of Gosses Bluff
548=	19	63 km SW of Louth toward Wilcannia
548=	19	8.8 km S of Oakbank
548=	19	Bellenden-ker Peak
548=	19	Dumoga-Bone National Park, Danau Mooat
548=	19	Green Head
548=	19	Henbury Station, 14km NE from Henbury Homestead, North of Chandler Range approx 2.3km from Stuart Highway
548=	19	Levuka, Ovalau Is
548=	19	Lombok Island, Senaru, track to Tiu Kelep Waterfall
548=	19	Nanango District
548=	19	Saibai Island, Torres Strait Islands
548=	19	Tawau, Quoin Hill
548=	19	ca. 3 km N Port Boisé
562=	18	11.5km NE of Henbury Homestead
562=	18	17.5 km NW of C715 &#40;near Frankford&#41; on B71, S of C740 &#40;to Abestos Range National Park&#41;
562=	18	4 km S of Cann River
562=	18	Atherton Tableland, 14.5km SW of Atherton
562=	18	Brooklyn Holding
562=	18	Conondale Range, Bundaroo Creek
562=	18	Discovery Bay Coastal Park, Lake Monibeong
562=	18	Euglo South SF
562=	18	Haute Yaté
562=	18	Lochada, Omega track, N of Baker Well
562=	18	Lochada, Windinie Hill
562=	18	Lochada, track due W. of Kelly Well
