rank	count	N_QUALIFICATION
201=	6	syn. <i>Thylacis obesulus</i>; blood
272=	5	(as <I>Hake</I>)
272=	5	= <i>Cacatua roseicapilla</i>
272=	5	= <i>Himantopus leucocephalus</i>
272=	5	?genus identification
272=	5	Black Swan
272=	5	Cinnamon Antechinus
272=	5	Common Brushtail Possum
272=	5	Common Wallaroo (captive Record)
272=	5	Freckled Duck
272=	5	Long Nosed Bandicoot
272=	5	Long-nosed Potoroo
272=	5	Mallard
272=	5	NSW – North Rocks SF
272=	5	Northern Nail-tail Wallaby
272=	5	QLD – 32 km west of Mount Garnett
272=	5	QLD – Bunya SF
272=	5	QLD – Cooroy, Maleny
272=	5	QLD – Pialba
272=	5	QLD – Stanthorpe
272=	5	QLD – The Knoll NP Mount Tambourine
272=	5	S end of Lake Puntawoloma, SA
272=	5	SA – Spring Mount CP
272=	5	Shorteared Brushtail Possum
272=	5	Smooth Knob-tail Gekko
272=	5	WA – South of Manjimup
272=	5	as <I>Callitris glauca</I>
272=	5	as <I>tholymannii</I> — may be a variety name
272=	5	brush-tailed possum
272=	5	eastern grey kangaroo
272=	5	from PNG
272=	5	from the bronchioles
272=	5	from the pulmonary artery 
272=	5	goat
272=	5	hindgut (+ lab. colony)
272=	5	in Qld
272=	5	in Western Australia
272=	5	in nasal sinus and lungs
272=	5	on foliage
272=	5	on label as <I>Pelagonium</I>
272=	5	sand monitor
272=	5	syn. <i>Glyptotermes brevicornis</i>, <i>Glyptotermes nigrolabrum</i> Hill, <i>Glyptotermes dubius</i> Mjoberg, <i>Glyptotermes perangustus</i> Hill, <i>Calotermes nigrolabrum</i>, <i>Kalotermes nigrolabrum</i>; hindgut
272=	5	syn. <i>Glyptotermes neotuberculatus</i>; hindgut
272=	5	syn. <i>M. bennetti</i>; stomach, zoo
272=	5	taro
316=	4	 (paratenic host)
316=	4	= <i>Canis lupus dingo</i>; blood
316=	4	= <i>P. gilberti</i>; faeces
316=	4	= <i>P. tridactylus</i>; blood (+ PCR)
316=	4	Black-tailed Native Hen
316=	4	Cape Barren Goose
316=	4	NSW  - McPherson SF
316=	4	NSW – Banda Banda R, Mt Boss SF
316=	4	NSW – Bathurst
316=	4	NSW – Beaury SF
316=	4	NSW – Boambee SF Musa acuminata; QLD – Rochedale
316=	4	NSW – Dalmorton SF
316=	4	NSW – Hanging Rock SF
316=	4	NSW – Newcastle
316=	4	NSW – Newfoundland SF
316=	4	NSW – Orara East SF
316=	4	NSW – Pidgeon House Mountain
316=	4	NSW – Sydney
316=	4	NT – Katherine
316=	4	NT – Katherine Low Level Native P
316=	4	New Zealand
316=	4	QLD – 32 km W of Mt Garnett
316=	4	QLD – Bellenden Ker NP south of Cairns Rainforest, Mossman River NP, Mission Beach
316=	4	QLD – Bribie Island
316=	4	QLD – Canungra
316=	4	QLD – Carnarvon NP
316=	4	QLD – Chinchilla
316=	4	QLD – Coastal Queensland
316=	4	QLD – Elliot River Forest
316=	4	QLD – Emmett Creek
316=	4	QLD – Forest Hill
316=	4	QLD – Mount Mowbullan Bunya Mountains
316=	4	QLD – Mt Nebo
316=	4	QLD – Paroo River Eulo
316=	4	QLD – Pozieres
316=	4	QLD – Redland Bay
316=	4	QLD – Sunnybank
316=	4	QLD – The Bluff Yeppoon
316=	4	QLD – Toowong
316=	4	Rufous Bettong
316=	4	SA – Clinton CP
316=	4	SA – Ferries McDonald CP
316=	4	SA – Kyeema CP
316=	4	SA – Marne Valley CP
316=	4	SA – Parra Wirra RP
316=	4	SA –Para Wirra RP
316=	4	TAS – Eagle Hawk Neck
316=	4	USA
316=	4	VIC - Merbein
316=	4	VIC – 10 km east of Lakes Entrance
316=	4	VIC – Merbein
316=	4	VIC – Thurra SF
316=	4	WA – Ballida
316=	4	WA – King Edward River 
316=	4	WA – Manjimup
316=	4	adults also occurring on flowers of <i>Geissois biagiana</i> [CUNONIACEAE]
316=	4	adults also occurring on flowers of <i>Homalium brachybotrys</i> [SALICACEAE]
316=	4	also in other material from Tas. one adult <F> ex <I>N. gunnii</I> and one adult <F> from <I>N. cunninghamii</I>
316=	4	as <i>Aristida jerichoensis</i> var. <i>subopinulifera</i>
316=	4	as <i>Dicrastylis beveridgei</i> var. <i>beveridgei</i>
316=	4	as <i>Dicrastylis gilesii</i> var. <i>gilesii</i> f. <i>densa</i>
316=	4	as <i>Thomasia</i> aff. <i>triphylla</i>
316=	4	as variety
316=	4	blood, heart, kidney, spleen, lung
316=	4	blood, kidney, spleen, lung
316=	4	blood, liver, heart
316=	4	blood, lung
316=	4	body surface (exptl. infection)
316=	4	captive host
316=	4	central nervous system
316=	4	eggs, larvae
316=	4	emu
316=	4	faeces (+ IMS, + PCR)
316=	4	faeces, gall bladder
316=	4	fins, gills
316=	4	from Eyre Peninsula, SA
316=	4	from Indooroopilly, Qld AMNH 187
316=	4	from faeces
316=	4	from gills
316=	4	gill, pleopods
316=	4	gut (exptl. infection)
316=	4	gut scraping (+ PCR)
316=	4	heart
316=	4	hindgut (lab. colony)
316=	4	intestinal submucosa
316=	4	intestines (exptl. infection)
316=	4	intestines, liver
316=	4	larval fat bodies
316=	4	liver, spleen, intestine
316=	4	muscle, fat bodies, connective tissues
316=	4	not confirmed
316=	4	skeletal muscle
316=	4	syn. <i>Acerina peeli</i>; gills
316=	4	syn. <i>Cassostrea amasa</i>
316=	4	syn. <i>Chlamydodera orientalis</i>; blood
316=	4	syn. <i>Entomyza cyanotis</i>; blood
316=	4	syn. <i>G. cyanoleuca</i>; blood
316=	4	syn. <i>Geophaps lophotes</i>; blood
316=	4	syn. <i>H. leucosternus</i>; blood
316=	4	syn. <i>Hyla caerulea</i>; intestines (exptl. infection in tadpoles)
316=	4	syn. <i>Latropiscus purpurissatus</i>; blood
316=	4	syn. <i>M. bennetti</i>; small intestine
316=	4	syn. <i>M. domesticus</i>; blood
316=	4	syn. <i>M. domesticus</i>; blood (exptl. infection)
316=	4	syn. <i>M. domesticus</i>; gut
316=	4	syn. <i>M. mitchelli</i>, <i>Gryptes macquariensis</i>; skin, gills
316=	4	syn. <i>Megalia rufus</i>; faeces (+ PCR)
316=	4	syn. <i>P. grandis</i> Holmgren; gut (+ PCR)
316=	4	syn. <i>Plectroplites ambiguus</i>; intestines
316=	4	syn. <i>Python amethystinus</i>; blood
316=	4	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; blood
316=	4	syn. <i>Rattus decumanus</i> Pallus, 1778, <i>Mus decumanus</i>; gut
316=	4	syn. <i>Tropidorhynchus corniculatus</i>; blood
316=	4	syn. <i>Z. lateralis</i>; blood
316=	4	unconfirmed record
316=	4	unknown species
316=	4	unsubstantiated record
316=	4	various organs
434=	3	(Day 1999)
434=	3	(Stevens 1994)
434=	3	= <I>R. Assimilis</I>
434=	3	= <i>Kalotermes rufinotum</i>; hindgut
434=	3	Adelaide Zoo (uncertain origin); Townsville, Qld (uncertain record)
434=	3	Brisbane, Qld AMNH 173; Moggill, Brisbane, Qld QM
434=	3	Fringelip Mullet
434=	3	Gills
434=	3	Greenback Mullet
434=	3	Kangaroo Grass
434=	3	Magpie Goose
434=	3	Malpighian tubules
434=	3	NSW – Barcoongerie SF
434=	3	NSW – Hyland SF
434=	3	NSW – Jacks Creek
434=	3	NSW – Narara
434=	3	NSW – Nundle SF
434=	3	NSW – Nyngan
434=	3	NT – Katherine low level Native Park
434=	3	NT – Manbullo
434=	3	Pecan
434=	3	QLD – 70 km north norwest Charleville
434=	3	QLD – Boreen Point
434=	3	QLD – Bunya Mountains
434=	3	QLD – Burrum
434=	3	QLD – Coolum
434=	3	QLD – Forty Mile Scrub, NP
434=	3	QLD – Inala
434=	3	QLD – Indooroopilly
434=	3	QLD – Keperra
434=	3	QLD – Moggill
434=	3	QLD – Mt Elliott NP
434=	3	QLD – Rochedale
434=	3	QLD – Rocklea
434=	3	QLD – Woongoolba
434=	3	Reared from flower gall on <I>E. tomentosa</I> R.Br.
434=	3	Reared from flower gall on A. vesicaria Heward ex Benth.
434=	3	Rice
434=	3	SA – Gawler Ranges
434=	3	SA – Totness Recreation Park
434=	3	SA – Urrbrae
434=	3	South Africa
434=	3	Sydney
434=	3	VIC – Kingslake
434=	3	VIC – Mason Falls
434=	3	WA – Bedfordale
434=	3	WA – Maylands
434=	3	adults also occurring on flowers of <i>Eucalyptus uncinata</i>
434=	3	as "'native cat' <i>Dasyurus</i> spec. (<i>D. viverrinus </i>SHAW.)" but this species does not occur in N Qld
434=	3	as <i>Amyema quandang</i> var. <i>quandang</i>
434=	3	as <i>Enchylaena tomentosa</i> var. <i>tomentosa</i>
434=	3	as <i>Gallinula ventralis</i>
434=	3	as <i>L. serrata </i>and <i>L. dingoensis</i>
434=	3	as <i>Lutjanus amabilis</i> (De Vis, 1884)
434=	3	as <i>Prunus persica</i> var. <i>nectarina</i>
434=	3	as <i>Salmo gairdneri</i>
434=	3	at Walpeup Mallee Research Station, Vic.
434=	3	faeces (incidental finding)
434=	3	from the trachea
434=	3	gills (+ PCR)
434=	3	in Tas.
434=	3	in Vic., NSW, WA, Qld
434=	3	intestines, liver, gall bladder
434=	3	kidney, caeca
434=	3	large intestine
434=	3	larvae also occurring in <i>Eucalyptus gracilis, E. oleosa</i> & <i>E. uncinata</i>
434=	3	nymph in liver, Walsh Point, Mitchell Plateau, WA; small intestine, Cannon Hill, NT; Kapalga, Kakadu National Park, NT
434=	3	nymph in liver, Walsh Point, Mitchell Plateau, WA; small intestine, Cannon Hill, WA 
434=	3	pest control
434=	3	qualification
434=	3	rice
434=	3	scales, fins
434=	3	stomach, zoo
434=	3	syn. <i>C. fatigans</i>; haemocoel
434=	3	syn. <i>Calotermes condonensis</i>, <i>Kalotermes condonensis</i>, <i>C. oldfieldi</i>; hindgut
434=	3	syn. <i>Calotermes irregularis</i>, <i>Termes insularis</i>; hindgut
434=	3	syn. <i>Ceratokalotermes spoliator</i>; hindgut
434=	3	syn. <i>Glyptotermes brevicornis</i>, <i>Glyptotermes nigrolabrum</i> Hill, <i>Glyptotermes dubius</i> Mjoberg, <i>Glyptotermes perangustus</i> Hill, <i>Calotermes nigrolabrum</i>, <i>Kalotermes nigrolabrum</i>; gut
434=	3	syn. <i>Gymnocranius bitorquatus</i>; gall bladder (+ PCR)
434=	3	syn. <i>Hyla aurea</i>; genitals
434=	3	syn. <i>Hyla caerulea</i>; gall bladder
434=	3	syn. <i>Hyla lesueuri</i>; gall bladder
434=	3	syn. <i>Hyla nasuta</i>; gall bladder
434=	3	syn. <i>Hyla peronii</i>
434=	3	syn. <i>Hyla peronii</i>; gall bladder
434=	3	syn. <i>Kalotermes iridipennis</i>, <i>Glyptotermes iridipennis</i>; gut
434=	3	syn. <i>L. amabilis</i>; gall bladder
434=	3	syn. <i>Megalia rufus</i>; forestomach
434=	3	syn. <i>Plectroplites ambiguus</i>; gall bladder, kidneys
434=	3	syn. <i>Pristis cirratus</i>; gall bladder
434=	3	syn. <i>Proglyptotermes hilli</i>; hindgut
434=	3	syn. <i>Proglyptotermes pallidinotum</i>; hindgut
434=	3	syn. <i>Proglyptotermes tillyardi</i>; gut
434=	3	syn. <i>S. grandis</i>; muscle
434=	3	syn. <i>Scomber atun</i>, <i>Leionura atun</i>; muscle
434=	3	syn. <i>Therapon carbo</i>; gall bladder
434=	3	syn. <i>Therapon hillii</i>; gall bladder
434=	3	syn. <i>Therapon hillii</i>; gill filaments
434=	3	taken at Brisbane, Qld [according to AFD this subspecies occurs only in tropical NT and WA; other subspecies occur in SE Qld]
434=	3	testes
434=	3	ureter
434=	3	x Eucalyptus cordata
536=	2	 (exptl. infection)
536=	2	 (exptl. infection), antibodies (ELISA)
536=	2	 (exptl. infection), antibodies (IFAT)
536=	2	"sensu Naylor et al. 2012"
536=	2	(Ahmed & Waheed 1971: 116)
536=	2	(Cookson & New 1980)
536=	2	(as <I>Callitris glauca</I>
536=	2	<i>Holotheres danielae</i> is a symbiont of the holothurians (<i>Haplodactyla sp.</i>)
536=	2	= <I>R. conatus</I>
536=	2	= <i>Austrochaperina robusta</i>, = <i>Austrochaperina fryi</i>; intestines
536=	2	= <i>Canis lupus dingo</i>; antibodies (DAT)
536=	2	= <i>Canis lupus dingo</i>; faeces (+PCR)
536=	2	= <i>H. bicolor</i>; blood
536=	2	= <i>P. gilberti</i>; blood
536=	2	= <i>P. gilberti</i>; faeces (+ PCR)
536=	2	= <i>P. gilberti</i>; lungs, liver, muscle, antibodies (IHAT)
536=	2	= <i>Torquigener hamiltoni</i> syn. <i>Spheroides hamiltoni</i>; surface
536=	2	= A. agilis; tissue cysts
536=	2	=<i>J. belangeri</i> (<i>J. vogleri</i> (different fish) synonyms are <i>J. australis</i>, <i>Sciaena australis</i>); ovary
536=	2	? =<I>Echinolaena polystachya</I>
536=	2	?= "Blue Heron"
536=	2	A type of Boxfish
536=	2	Adelaide Zoo, SA (uncertain origin); Townsville, QLD (uncertain record)
536=	2	Bollgard Cotton
536=	2	Burrum
536=	2	Common Dunnart) (WL N4135)
536=	2	Cox’s Scrub CP
536=	2	Family indeterminate
536=	2	Iin proventriculus
536=	2	Inornate Rock Wallaby
536=	2	Larvae feed on the foliage of mountain pepper, <I>Tasmannia lanceolata</I> (Winteraceae), a shrub or small tree locally common in tall forests, lower montane to sub-alpine regions and sea level in moist areas.  The cryptic colouration of the <I>Archephanes</I> larvae against its foodplant, the toxic nature of the host and the locally restricted distribution of the adult strongly suggest a monophagous habit.  
536=	2	Little Long-tailed Dunnart (WL N4267)
536=	2	NSW -  Jenolan SF
536=	2	NSW – Ben Bord NP
536=	2	NSW – Boundary Creek
536=	2	NSW – Boundary Creek, Dalmorton SF
536=	2	NSW – Cherry Tree SF
536=	2	NSW – Cumberland SF
536=	2	NSW – Darling and Murray Rivers Junctions
536=	2	NSW – Gosford
536=	2	NSW – Gosford, Sydney; VIC – Cobram, Mildura
536=	2	NSW – Griffith
536=	2	NSW – Harwood
536=	2	NSW – Hyalnd SF
536=	2	NSW – MIA
536=	2	NSW – Minnie Waters, Lamington NP, McLean
536=	2	NSW – Morton NP
536=	2	NSW – Murramarang NP; QLD – Bunya Mountains; SA – Common in conservation parks
536=	2	NSW – Murramarang NP; VIC – 32 km east of Lakes Entrance
536=	2	NSW – Nyngan; QLD – 32 km W of Mt Garnett, The Knoll NP Mount Tambourine
536=	2	NSW – Orange
536=	2	NSW – Ourimbah
536=	2	NSW – Pennant Hills; QLD – St Lucia, Gayndah, Palmwoods
536=	2	NSW – Richmond
536=	2	NSW – South Sydney
536=	2	NSW – Wakool, Yanco
536=	2	NSW – Wilson River Primitive R Mt Boss SF
536=	2	NSW – Wilson River Primitive Rainforest, Mt Boss SF
536=	2	NSW – Wilson River Primitive Reserve, Mt Boss SF
536=	2	NSW – Woodenbong
536=	2	NSW – Yambulla SF
536=	2	NSW – Yarrangobilly Caves
536=	2	NT – Darwin
536=	2	NT – Manbullo, Katherine
536=	2	Note: this species is endemic in New Zealand, host may be referable to <i>G. coxii</i> Krefft, 1864; body surface
536=	2	Pericardial cavity (+ PCR)
536=	2	Primary parasitoid.
536=	2	QLD - Gracemere
536=	2	QLD - The Knoll NP Mount Tambourine, 32 km W of Mt Garnett
536=	2	QLD - The Knoll NP Mount Tambourine, Bunya SF
536=	2	QLD – 32 km west of Mount Garnett, Bellenden Ker NP south of Cairns Rainforest, Mossman River NP, Mission Beach
536=	2	QLD – 57 lm west of Mount Garnett
536=	2	QLD – 57 lm west of Mount Garnett, QLD – The Knoll NP Mt Tambourine
536=	2	QLD – Beerwah, Elimbah, Palwoods, Pmona
536=	2	QLD – Biloela
536=	2	QLD – Bowen
536=	2	QLD – Bribie Island, Point Lookout
536=	2	QLD – Brisbane Botanic Gardens
536=	2	QLD – Brisbane Botanis Gardens
536=	2	QLD – Brisbane, Ithaca, Indooroopilly, Rochlea, Imbil, Caboolture
536=	2	QLD – Bunya SF; NSW – Dalmorton SF
536=	2	QLD – Burrum Heads
536=	2	QLD – Burrum Road
536=	2	QLD – Burrum; VIC - Cobram
536=	2	QLD – Calavos
536=	2	QLD – Cararvon NP
536=	2	QLD – Cecil Plains
536=	2	QLD – Coomboorian
536=	2	QLD – Currumbin, The Gap
536=	2	QLD – Davies Creek NP Atherton Tablelands 
536=	2	QLD – Davies Creek NP, Davies Creek NP Atherton Tablelands
536=	2	QLD – Dayboro
536=	2	QLD – Didillibah
536=	2	QLD – Dunballa
536=	2	QLD – Fitxroy River, Rockhampton
536=	2	QLD – Forty Mile Scrub
536=	2	QLD – Garner’s Beach
536=	2	QLD – Gayndah
536=	2	QLD – Gayndah, Grantham
536=	2	QLD – Googa, Benarkin
536=	2	QLD – Gympie; WA – Karrynup
536=	2	QLD – Hampton Toowoomna to Crowsnest Road, Camp Cable
536=	2	QLD – Harlin, Biarra
536=	2	QLD – James Sharp Memorial P Canungra
536=	2	QLD – Killarney
536=	2	QLD – King Edward River
536=	2	QLD – Koah
536=	2	QLD – Lyra The Summit
536=	2	QLD – Miriam Vale
536=	2	QLD – Moreton Island
536=	2	QLD – Mossman River NP; NSW – Whian Whian SF
536=	2	QLD – Mount Coochin Beerwah
536=	2	QLD – Mount Elliott NP, 32 km west of Mount Garnett
536=	2	QLD – Mount Elliott NP, 32 km west of Mount Garnett, Davies Creek NP Atherton Tablelands
536=	2	QLD – Mt Gravatt
536=	2	QLD – Mt Ninderry
536=	2	QLD – Mt Tambourine
536=	2	QLD – Mulambin Beach, Burrum Heads
536=	2	QLD – Mulambin Beach, Davies Creek NP Atherton Tablelands
536=	2	QLD – Mundurah, Longreef. Damage associated : SA – Henley ; WA – West Perth
536=	2	QLD – Murray Falls
536=	2	QLD – North Queensland
536=	2	QLD – O'Reillys Guest House Lamington NP
536=	2	QLD – Ormiston
536=	2	QLD – Oxley
536=	2	QLD – Palmerston Highway and Henderson Drive Junction
536=	2	QLD – Pioneer, Lower Burdekin
536=	2	QLD – Pomona
536=	2	QLD – Severlea
536=	2	QLD – Texas
536=	2	QLD – Thangool
536=	2	QLD – The Bluff Yeppoon, Gamma
536=	2	QLD – Thulimbah
536=	2	QLD – Toowoomba
536=	2	QLD – Valdor
536=	2	QLD – Warwick, Allora
536=	2	QLD – West of Mount Garnett
536=	2	QLD – West of Mount Garnett, 32 km west of Mount Garnett
536=	2	QLD – Wild Cattle Creek SF
536=	2	QLD – Yarraman
536=	2	QLD – Zulu
