rank	count	Locality
38=	120	Pilbara Dist., Hillside-Marble Bar Rd ca. 60 km SW of Marble Bar
40=	118	8.2 km E of Indian Ocean Rd on Coorow-Greenhead Rd, Lesuer National Park
40=	118	Karara, nr Corner Well
42	117	Stradbroke Island
43=	115	3.7 km SE of Kings Canyon Resort, Watarrka National Park
43=	115	Royal National Park, Wattamolla Beach Car Park
45	111	19.5km N of Mareeba
46=	110	91 km N of Quilpie
46=	110	Charles Darwin Reserve, track to White Dam
48	109	Poison Creek Beach, Cape Arid National Park
49=	103	Fish River Station, transect T
49=	103	Karara, on Rabbit Proof Fence, N of Mungada Rd
51	101	13.5 km E of Stuart Hiway on Horseshoe Bend Rd
52=	100	Lochada, N of Killarinie Well on granite
52=	100	Lochada, Omega track 0.5 km N of Mungada Rd
54	99	78 km S of Alice Springs at jct of Rainbow Valley Rd and Stuart Hiway
55	95	11.2km S of Lolworth Homestead
56	93	Augusta
57=	88	12.6 km E of Meedo Homestead on Pimbee Rd, near Meedo Homestead
57=	88	22 km W of Retreat &#40;35 km E Manilla&#41;
57=	88	Carnarvon, Small Boat Harbour
57=	88	ca 6.5 km S of Bermagui, Biamanga National Park
61=	87	Mt. Field National Park, Russell Falls Visitor Centre
61=	87	NW Coastal Hiway 57 km N of Kalbarri Road
61=	87	Watheroo National Park &#40;Main entrance&#41; [WA005]
64	86	1 km E of Grey Rd on Ajana Rd, on southern boundary of Kalbarri National Park
65	85	Mosman Park, Perth, trail b/w Minum Cove Park and Chidley Point Reserve
66	84	35.4 km W of Uluru at Kata Tjuta jct on Lasseter Hiway
67=	82	2 km S of Springdale Road on Munglinup Beach Road
67=	82	5 km S of Martins Well
67=	82	67km W of Mt. Garnet, Forty Mile Scrub National Park picnic area
67=	82	Pilbara Dist., Bamboo Ck Rd 14 km W of Bamboo Ck
67=	82	jct of Stuart Hiway and Horseshoe Bend Rd
72=	80	Charles Darwin Reserve, granite outcrop SW of homestead
72=	80	Pilbara Dist., Shay Gap Rd 15.1 km NE of Muccan Homestead
74	78	11 km S of Eneabba on Brand Hiway, Eneabba Reserve
75=	77	Brand Hiway 18.8 km S of jct with Cervantes Rd
75=	77	Finke Gorge National Park, Palm Valley
75=	77	Pilbara Dist., Rhodes Ridge Camp
78=	76	28.8 km N of Port Augusta on Stuart Hiway
78=	76	Hammersley Inlet Campground
78=	76	Karara, N of Emu Fence on track to Corner Well
81=	75	193 km W of Stuart Hiway on Lasseter Hiway
81=	75	3.9 km E of Indian Ocean Rd on Coorow-Greenhead Rd, Lesuer National Park
81=	75	8.2 km E of Mungallala
84=	74	27 km W of Hattah, Murray Sunset National Park
84=	74	3.5 km S of Mt. Chudalup, D'Entrecasteaux National Park
84=	74	Canning Vale &#40;cnr Nicholson Rd&#41; [WA013]
84=	74	Fish River Station, at Daly River, camp nr Site F141
88=	72	10.5 km W of jn of Salt River Rd and Red Gum Rd, Stirling Ranges National Park [WA025]
88=	72	2 km SW of Red Gum Springs, Stirling Ranges National Park [WA026]
88=	72	4.2 km SE of Esperance, Lake Mullet Nature Reserve
88=	72	North West Coast Hiway 72 km NE of jct with Blowholes Rd
92=	71	1 km S of Henbury Craters Nature Reserve
92=	71	Discovery Bay National Park, Swan Lake Beach area
92=	71	Pinnacles Desert, Nambung NP
95=	70	Mt. Wellington, under Organ Pipes formation
95=	70	Murray Sunset National Park, Lost Hope Track
97	69	North West Coastal Hiway 45.8 km NE of jct with Blowholes Rd
98	68	~ 38 km N of Lasseter Hiway on Luritja Road
99=	67	64 km ESE of Onslow
99=	67	Dunedoo
99=	67	Fish River Station, sth on large limestone outcrop
99=	67	Kadji Kadji, Paradise track
103	66	105 km W of Tom Price on Nanutarra Rd
104=	65	Kimberley Dist., Windjana Gorge National Park
104=	65	Lake Magenta Road, 4 km N of South Coast Hiway
104=	65	Namadgi National Park, ca. 5km W of Orroral Gate on Cotter Hut Rd
104=	65	Yadboro State Forest, Castle Flat
108=	64	74.2 km NW of Bond Springs on Tanami Rd
108=	64	82.2 km W of Agnew toward Sandstone
108=	64	Careel Bay, SW end of Etival St, W of Barrenjoey Rd
108=	64	Charles Darwin Reserve, granite SW of homestead on track to White Dam
108=	64	Karara, John Forrest Lookout
113=	63	33 km E of Alice Springs on Ross Hiway
113=	63	9.2 km SE of Ripon Hills Rd on Marble Bar Rd &#40;towards Mullegerie&#41;
113=	63	Blowholes Rd NW of North West Coastal Hiway, Beagle Hill Area
113=	63	Patriarch Conservation Area, 8.6 km on Lees Rd, E of jnct of Lees and Lackrana Roads
117=	62	4.5 km NW of jct of Blowholes Rd and North West Coastal Hiway, N of Carnarvon
117=	62	Karara, Karara Rd S of homestead
117=	62	jct of Namatjira Drive and Gosse Bluff track
120=	61	10km E of Mareeba, jct of  Kennedy Hwy &#38; Kay Rd
120=	61	Namadgi National Park, 21.3km NW of Glendale Depot on Cotter Hut Rd
120=	61	Salmon Beach &#40;headland&#41;, D'Entrecasteaux National Park, Windy Harbor
123=	60	Lochada, Omega track, N of Baker Well
123=	60	ca. 25 km W of Towrana Homestead, on Pimbee Rd, Pimbee Conservation Park
125=	59	11 km S of Eneabba, Eneabba National Park
125=	59	25.3 km NW of Bond Springs on Tanami Rd
125=	59	Pilbara Dist., 28.3 km S of Auski Roadhouse on the Great Northern Hiway
128=	58	1 km N of Innamincka, Cooper Creek
128=	58	Pilbara Dist., Great Northern Hiway km NE of Sandfire Roadhouse
128=	58	adjacent to N boundary of Lake Shaster Nature Reserve
131=	57	26.8 km W of Tanami Rd on Mt Wedge Station Rd
131=	57	Boobyalla Beacfh
133=	56	11 km N of Coolgardie-Esperance Hiway on Kambalda Road
133=	56	80.3 km E of Yeundumu on Mt Denison-Coniston Rd
133=	56	Mt. William National Park, Waterhole
136=	55	25 km ESE of Onslow
136=	55	4.5km W of Chillagoe
136=	55	41.8 Km W of Hattah, Murray Sunset National Park
139=	54	2.3 km E of Esperance on Fisheries Road
139=	54	6 km SE of Marlborough Rd on Top Marshes Conservation Area Rd
141=	53	4.2 km W of Marlborough Hwy on Pine Tier Lagoon Rd
141=	53	Tiea Reserve, 5 km E of Pouembout
141=	53	West Beach, Fitzgerald River National Park
144=	52	Cape Arid National Park, Thomas River Campground
144=	52	Narawntapu National Park, at beach
146=	51	2.2 km W of Windy Harbor, D'Entrecasteaux National Park
146=	51	Cape Range National Park, Yardie River Crossing at Mingaloo Yardie Rd
146=	51	Cosy Corner Beach East, Torbay Sound, W of Albany
146=	51	Madfish Bay, William Bay National Park
146=	51	just north of Auski Village
151=	50	19.7 km E of 'Onslow Rd' on Nth Coast Hwy
151=	50	4.5 km S of Jurien on Indian Ocean Rd
151=	50	5 km E of Cann River, Reedy Creek
151=	50	Cape York Peninsula, 25.5km SE of Laura
151=	50	Corinna Base Camp
156=	48	135 km W of Coolgardie on Great Eastern Hiway
156=	48	53.9 km N of Kalgoorlie
156=	48	Royal National Park, Warumbul Picnic Area
156=	48	Vaughns
160=	47	20 km W of Nepabunna, Mt. Serle
160=	47	3.5 km E of Lillian Stoke Rock
160=	47	Charles Darwin Reserve, Edna Spring
160=	47	Credo Station, Coolgardie Nth Rd, 21km N of homestead
160=	47	Gawler Ranges National Park: ca. 6km from National park entrance from Yardea
165=	46	10 km S of Toowoomba, Preston Road
165=	46	51.6 km W of Stuart Hiway on Mount Denison-Coniston Rd
167=	45	25.6km SE of Mount Minnie Homestead on Northern side of Mount Stuart Road
167=	45	8.5 km E of Green Head on Coorow Green Head Rd
167=	45	Credo Station, off Coolgardie Nth Rd, NE of Three Mile Dam
170=	44	Kalbarri National Park, Z-Bend Road
170=	44	Murda State Forest, Parkes-Condoblin
172=	43	14.3 km S of Erudina Woolshed
172=	43	81 km E of Norseman
172=	43	Cape Leeuwin
172=	43	Credo Station, NE of homestead, nr Rundle Dam
172=	43	Hiway 1 at Preston Beach Road
172=	43	Kalbarri National Park, 37.7 km E Kalbarri
172=	43	Sandy Cape Recreational Park, N of Jurien Bay
179=	42	2.1 km W of Broke Inlet Road on Chesapeak Road, D'Entrecasteaux National Park
179=	42	Fish River Station, transect Z
181=	41	2 km W of Caves Road, Leeuwin Naturaliste National Park
181=	41	96 km NW of Morgan, Pine Valley Stn
181=	41	Credo Station, Ularring Rock
181=	41	Lochada, Omega track 1.5 km N of Mungada Rd
185=	40	10 km N of Tom Price on Wittenoom Rd
185=	40	Kings Canyon, Watarrka National Park
185=	40	Mt Norman area, via Wallangarra
188=	39	16.8 km W of Mingenew
188=	39	175 km W of Tom Price on Nanutarra Rd
188=	39	3 km E of Orford
188=	39	31.3 km N of Ravensthorpe
188=	39	Avoca Picnic Area, just NW of A4
188=	39	Charles Darwin Reserve, Wanarra Rd at breakaway
188=	39	Fish River Station, Site B3
188=	39	Royal National Park, Warumbul Road
196=	38	28 km S of Menzies &#40;3.5 km E of Hiway&#41;
196=	38	Arthur-Pieman Conservation Area, nr the mouth of Interview River &#40;Fish9&#41;
196=	38	Brand Hiway 45.9 km S of Dongarra Road
196=	38	Top of Dales Gorge
200=	37	5 mi S of Bermagui, Biamanga National Park
200=	37	Greenough River Mouth
200=	37	Jarrahdale
200=	37	Mt. Chudalup, D'Entrecasteaux National Park
200=	37	Pilbara Dist., Marble Bar Rd, 30 km N of Newman
205=	36	7.8 km E of Marlborough Hwy on Serpentine Rd
205=	36	Conspicuous Beach, Walpole-Nornalup National Park, 10 km E of Nornalup
205=	36	Mt Keira
208	35	Credo Station, Davyshurst Cemetery
209=	34	Donggali Cons. Park, 30.1 km S of Oakbank
209=	34	Gibraltar Range via Glen Innes
209=	34	Namadgi National Park, Orroral River Picnic Area, jnct Orroral Rd &#38; River
209=	34	Namadgi National Park, adjacent to Yankee Hat carpark, 16.1 Km S of Glendale Depot on Boobyan Rd
213=	33	2.5 km W of Brand Hiway &#40;off Red Emperor Rd&#41;, Flat Rocks Beach &#40;S of Geraldton&#41;
213=	33	Newman Rocks, 136.5 km E of Norseman
215=	32	20.6 km S of Norseman-Lake King Road on Lake King-Cascades Road
215=	32	3 km N Duladgin Rock [WA001]
215=	32	30.8 km W of Mingenew
215=	32	83.9km W of Home Valley Station on Gibb River Rd
215=	32	Basset site. Mt Glorious
215=	32	Karara, small granite dome N of Emu Fence on track to Corner Well
215=	32	Little Desert National Park, East end of McDonald Hiway
215=	32	Little Desert National Park, Stans Camp Track
215=	32	approx. 20km NW of Mt. Molloy
224=	31	34km SW Bourke toward Louth
224=	31	4.5 km S of Pottsville Beach
224=	31	43 km N of Norseman
224=	31	Lockerbie Area, Cape York
224=	31	Taratta SF
229=	30	13 km E of Brand Hiway on Marchagree Track
229=	30	136.9 km E of Carnarvon, W of Gascoyne Junction on Carnavon-Mullewa Rd
229=	30	184 km W of Stuart Hiway on Lasseter Hiway
229=	30	30mi E of Southern Cross
229=	30	54.3 km N of jct of Agana Kalbarri Rd and Brand Hiway &#40;rest area&#41;
229=	30	7.3 km E of Stuart Hiway on Horseshoe Bend Rd
229=	30	Cape Naturaliste National Park
229=	30	Credo Station, NW of Costean Dam
229=	30	Fish River Station, transect BB
229=	30	Fowlers Camp &#40;at end of Fowlers Camp Rd&#41;, Shark Bay World Heritage Area
229=	30	Gawler Ranges National Park: Sandy dunes ca. 6km from NP entrance from Yardea
229=	30	Henbury Station, Chandler Range near Rockhole Bore, 22km E of Henbury Homestead
229=	30	Kimberley Dist., Dampier Peninsula, Carnot Bay Spring
229=	30	Neds Corner: 184m NW of track adjacent to SE fenceline boundary track of Neds Corner
229=	30	Stanwell Park Reserve
244=	29	60 km W of Coolgardie on Great Eastern Hiway
244=	29	Credo Station, 5.2km along Telstra track
244=	29	Euglo Dam
244=	29	Fish River Station, at Fish River &#40;Site B9&#41;
244=	29	Karara, on Emu Fence, N of Mungada Rd
244=	29	Kinchega National Park, Cawndilla Campground
244=	29	ca 13 km E of Denmark on South Coast Hiway
251=	28	25 km S of Gascoyne Junction, on Towrana Homestead Rd
251=	28	Credo Station, off track between Six Mile Dam and Easter Dam
251=	28	Jct of Flinders Hwy &#38; Cann Camp Creek Road, White Mountains National Park
251=	28	Namadgi National Park, 21.6km S Glendale Depot on Boboyan Road
251=	28	Roebuck Plains, via Broome
256=	27	Antapiri Hill nr. Illamurta Spring, 58km NW of Henbury Homestead
256=	27	Kimberley Dist., Kalumburu Rd, 148.2 km N of Gibb River Rd.
256=	27	Windy Harbour
256=	27	Wongabel State Forest, Atherton Tableland
260=	26	1.2 km S of Woronora Dam turn-off on Old Princes Hwy
260=	26	1.7 km NE of Bronte Park, on Marlborough Hway
260=	26	2.1 km S of Coorow-Greenhead Rd, on Cockleshell Gully Rd
260=	26	72 km N of Yunta, Nillinghoo Creek
260=	26	92.5 km W of Coolgardie at east side of Boorabbin National Park on Great Eastern Hwy
260=	26	Bellenden Ker Ra, 1km S Cable Tower 6
260=	26	Blue Hole, Walpole-Nornalup National Park
260=	26	Bulbodney State Forest
260=	26	Charles Darwin Reserve, track from Seven Mile Well to Granite Well
260=	26	Credo Station, Reptile Dam
260=	26	Dryandra Woodland, ca 1 km N of junction of Contine Siding and Congelin Rds
260=	26	NW Coastal Hiway 80.7 km N of Kalbarri Rd
260=	26	Sturt Gorge, 3.2 km W of Blackwood
273=	25	143 km WNW of Charleville, Mariala National Park
273=	25	45 km W of Tom Price on Nanutarra Rd
273=	25	Credo Station, just off Coolgardie Nth rd, E of Boggy Corner Dam
273=	25	East of Arltunga Station
273=	25	Fitzgerald River National Park, Hammersley Road
273=	25	Otway Ranges National park, Blanket Bay Rd
273=	25	Pilbara Dist., Cape Keraudren Rd, 16.5 km of Great Northern Hiway
280=	24	0.5 km NW of Southwest National Park &#40;Maydena access&#41;: Huon Campground, off of Scotts Peak Rd
280=	24	0.6 km S of Eneabba on Brand Hiway
280=	24	15 mi N of Corinda Lagoon, via Doomadgee Mission
280=	24	17.6 km S of Innamincka
280=	24	Bowling Green Bay National Park, Alligator Creek Campground
280=	24	Fish River Station, sth nr large limestone outcrop
280=	24	Mt Father Clancy, 9km S Millaa Millaa
280=	24	Murda State Forest
280=	24	National Park, Belair
280=	24	Neds Corner, Along Murray River W of Neds Corner homestead
290=	23	139.2 km SE of William Creek, Finnis Springs &#40;63 km NW of Maree&#41;
290=	23	Bronte Park, 3.1 km E of Marlborough Hwy on Serpentine Rd
290=	23	Daintree National Park, ca. 4km N of Melissa Creek on Bloomfield Track, Cowie Range
290=	23	Duladgin Rock [WA002]
290=	23	Exmouth &#40;waste area behind sand-dune&#41;, Truscott Crescent &#40;opposite Pony Club&#41;
290=	23	Kadji Kadji, Paradise track N. of No. 2 Tank
290=	23	Lake Condah Mission
290=	23	Lesmurdie-Kalamunda
290=	23	Lochada, granite outcrop N of Killarinie Well
290=	23	Mt. Kaputar National Park, Upper Bullawa Creek Campground
290=	23	Sweeping undergrowth Euc. obliqua dry sclerophyll forest, Naracoorte Cave Reserve
290=	23	Upokorau Valley, 15 km W Takou Bay, Northland
290=	23	ca. 28 km SE of North West Coastal Hiway, on Mardathuna Rd &#40;W of Kennedy Range National Park&#41;
303=	22	1.1 km E of Cape Arid National Park boundary
303=	22	11 km E of Adavale
303=	22	15 km E of Merredin
303=	22	27km S of Mount Minnie homestead on southern side of Mount Stuart Road
303=	22	Bridge Creek National Park
303=	22	Croydon
303=	22	Dunwich, Stradbroke Island
303=	22	Humpty Doo
303=	22	Kimberley Dist., Dampier Peninsula, road to Bunda Bunda Mill, W of Cape Leveque Rd
303=	22	Namadgi National Park, ca. 0.7km past Orroral Gate on Cotter Hut Rd
303=	22	Pilbara Dist., Hillside-Marble Bar Rd, 66.1 km SW of Marble Bar
303=	22	Pilbara Dist., Karijini NP, Dales Gorge Lookout
303=	22	Rigde NW of Little Savage River &#40;TMAG3&#41;
303=	22	Wyperfeld National Park, Moonah Track
317=	21	1 km E of Albany Hiway, North Bannister
317=	21	14 km S Nhill, Little Desert National Park
317=	21	22 km W of Gingin
317=	21	8 km W of Marlborough Rd on Pine Tier Lagoon Rd
317=	21	Hellfire Bay, Cape Le Grande National Park
317=	21	Kurtonitj IPA
317=	21	Murda SF
317=	21	Roadside remnant near Condobolin Tip
325=	20	100 km S of Port Hedland on Great Nthn Hwy
325=	20	15 km N of Tom Price on Wittenoom Rd
325=	20	17.5 km W Warrumbungle National Park
325=	20	41.4km S of Lolworth Homestead
325=	20	Black Dog Creek, just N of entrance to Cradle Mt. Lake St. Clair National Park
325=	20	Craongingolong National Park, Thurra Campground, Pt. Hicks
325=	20	Credo Station, cnr Coolgardie Nth Rd + Nth track
325=	20	Kadji Kadji, Paradise track, just N of Mungada Rd
325=	20	Little Crystal Creek, nr Crystal Creek Campground
325=	20	Undara Volcanic National Park, 8.6km S of Kennedy Hwy
325=	20	ca. 30km SE of Chillagoe, on Burke Developmental Rd
336=	19	13.5 km W of Nungarin on Rt 50
336=	19	14.6km W of Paluma
336=	19	15.5km SE of Mount Minnie Homestead, 100m S of Onslow Road
336=	19	15km E of Mount Stuart and Northwest Coastal highway intersection
336=	19	6.5 km NE of Fisheries Road on Balladonia Road
336=	19	Boonjee, 13km ESE  Malanda
336=	19	Credo Station, 2.4km along Telstra track, W of Nagel Dam
336=	19	Jct of Baillie Rd &#38; Kennedy Hwy, 25km E of Mt Garnet
336=	19	Lochada, track from Boiada Camp to Mungada Rd
336=	19	Mt. Stuart summit, 15.5km W of Townsville
336=	19	Tully R. Xing, 10km S Koombooloomba Dam
347=	18	27.6 km N of Coral Bay Rd on Cardabia-Ningaloo Rd
347=	18	72 km N Coonabarabran, 1 km N Big Flat Gully
347=	18	Black Rock Pool 18 km N of Victoria Hiway
347=	18	Cape York Peninsula, 24.5km SE of Laura
347=	18	Cosy Corner Beach West, Torbay Sound, W of Albany
347=	18	Hattah Kulkyne National Park
347=	18	Haute Yaté
347=	18	Intermediate Hill
347=	18	West Claudie R, Iron Ra
356=	17	1.8 km N of Banovich Rd, 14.5 km S off Jurien Rd and Brand Highway intersection [WA202]
356=	17	21 km E of Kalgoorlie near transcon. railroad
356=	17	31 km NW of Eneabba [WA008]
356=	17	Cap N'dua Lighthouse
356=	17	Credo Station, Credo Station Reserve N
356=	17	Credo Station, SW of Rockhole Dam, NE of Kangaroo on road Dam
356=	17	Devonport, Stoney Rise
356=	17	Eneabba on Brand Hiway
356=	17	Inkerman Station junction of Wyaaba and Staaten Rivers
356=	17	Myall Lakes, Treachery Beach
356=	17	Nadgee
356=	17	Tyrendarra IPA
368=	16	0.4 km W of Caves Road on Boranup Drive, Leeuwin Naturaliste National Park
368=	16	41.5 km NW of Morgan
368=	16	Brand Hiway 8.2 km N of Eneabba
368=	16	Fitzgerald River National Park, East Mylies Beach
368=	16	Gite Kanua, Port Boisé
368=	16	Lamington National Park IBISCA Qld Plot IQ-700-B
368=	16	Muldoons IPA
368=	16	~ 75 km W of Stuart Hiway on Ernest Giles Road
376=	15	0.8 km E of Laurina Rd, off Hopetoun Rd, Fitzgerald River National Park [WA029]
376=	15	1 km W of Brand Highway on Jurien Road, at "V21" Telstra post [WA205]
376=	15	10.1 km W of Broke Inlet Road on Chesapeak Road, D'Entrecasteaux National Park
376=	15	11km S of Onslow Road,
376=	15	12 km N of Couta Rocks: campground
376=	15	13.2 km N of jct of Agana Kalbarri Rd and Brand Hiway, Galena River Bridge
376=	15	247 km W of Tom Price on Nanutarra Rd
376=	15	56.6 km W of Yalgoo
376=	15	7.7 km E of Marlborough Hwy on Serpentine Rd
376=	15	8.8 km N of Mt Wedge Stn Rd jct on Tanami Rd
376=	15	Aldinga Bay, Sellicks Beach Res.
376=	15	Antapiri Hill nr. Illamurta Spring, 58.1km NW of Henbury Homestead
376=	15	Arthur-Pieman Conservation Area, Kenneth Bay
376=	15	Devonport, town greenbelt
376=	15	Gadgarra Rd, 5km E Lake Eacham
376=	15	Gold Creek Reservoir, site 1
376=	15	Gunung Mulu National Park, clearing near Deer cave entrance
376=	15	Lochada, Steves track
376=	15	Mt Spurgeon;2km SE,via Mt Carbine
376=	15	Namadgi National Park, 5.3km N of Glendale Depot
376=	15	Pullabooka SF
376=	15	Torbay Bay Road and South Coast Hiway
398=	14	0.5 km N of Fisheries Road on Balladonia Road
398=	14	0.5 km SE of Couta Rocks: 'Murphy's Spring', terminus of C214, Mick Murphy's House
398=	14	11km W of Henbury Homestead at Henbury Meteorite craters
398=	14	5 km N of Badgingerra
398=	14	5.5 km E of Main Rd on Bundeena Drive
398=	14	Blue Rock, 5 km SE of Albany Hwy &#40;rd to Jarrahdale&#41; [WA016]
398=	14	Cape York Peninsula, base of Mt. Cook National Park &#40;next to Cooktown&#41;
398=	14	Charles Darwin Reserve, small claypan N of Wanarra East Rd
398=	14	Charles Darwin Reserve, track to Seven Mile Well, N of Wanarra Rd
398=	14	Cherry Tree SF, Mallanganee
398=	14	Comalloo campsite at jn of Jurien Rd and Brand Hwy [WA209]
398=	14	Forest Walk, 7.5km S of Helensburgh/Stanwell Park roundabout on Old Princes Hwy
398=	14	Gingin
398=	14	Granville Harbour
398=	14	Junction of Great Nthn Hwy and Karijini Dv
398=	14	Karara, rd to Forrest Lookout
398=	14	Lochada, Mungada Rd just W of turnoff to Boiada Camp
398=	14	Mt Chudalap
398=	14	Mt Tambourine
398=	14	Newman's Rock
398=	14	Savage River Pipeline Regional Reserve, nr Donaldson River &#40;Fish 4&#41;
398=	14	Stokes Inlet, Stokes National Park
420=	13	10.4 km N of Ross Hiway on Arltunga Claraville Rd
420=	13	12 km E of Copely, Flinders Range
420=	13	18 km S of Dongarra on Brand Hiway
420=	13	20km S of Onslow Road; 329m SW from track
420=	13	2km ENE of Millstream
420=	13	58km W of Mt. Garnet, Forty Mile Scrub National Park
420=	13	Araluen
420=	13	Black Mt, 17km ESE Julatten
420=	13	Brigalow Development Area, Moura
420=	13	Canberra
420=	13	Cape York Peninsula, 3 km S of Jardine R
420=	13	Charmillin Ck
420=	13	Fish River Station, Site B2
420=	13	Freycinet National Park
420=	13	Kimberley Dist., Mitchell Plateau, Warrender Rd, 7 km NW of jct of Kalumburu Rd
420=	13	Launceston
420=	13	Mt Rosea
420=	13	Newell Beach &#40;N of Mossman&#41;
420=	13	Wentworth Falls, Blue Mountains
420=	13	Yalgorup National Park, 3.3 km SE of Martins Tank Campground
420=	13	Yalgorup National Park, near Martins Tank Campground
441=	12	1 km N of Millstream
441=	12	13.1 km W of Denmark on South Coast Hiway
441=	12	13.4 km N of Peak Charles National Park
441=	12	17 Mile Plain, Grunter Rd
441=	12	17.5 km W of Guildford Road on Hiway 50 &#40;Toodjay Road&#41;
441=	12	24 km W of Sandstone
441=	12	4 km SW of Poison Creek Beach, Cape Arid National Park
441=	12	71.6 km NE of Kings Canyon Resort
441=	12	Brisbane
441=	12	Canning Vale, Jn of Nicholson and Ranford Roads
441=	12	Cape York Peninsula, 7.5km W of Archer Pt &#40;S of Cooktown&#41;
441=	12	Charleville
441=	12	Cloudlands Nature Refuge
441=	12	Credo Station, 4.8km along Telstra track off Coolgardie Nth Rd
441=	12	Duke of Orleans Bay, Table Island Picnic Area
441=	12	Frenchman's Peak, Cape Le Grande National Park
441=	12	Little Boat Harbour, Dillon Bay
441=	12	Little Desert National Park, 14 km E on McDonald Hiway
441=	12	Mt Bartle Frere, Central  Ridge
441=	12	Smiths Lake Field Station
441=	12	Southport
441=	12	ca 2km N of Coolgarloo and Mullering Rds on Brand Hwy
463=	11	10 km ESE Meedo HS
463=	11	10 km N of Hann Xing, Cape York Pen.
463=	11	10 mi. W of Mt Garnet
463=	11	143.3 km NW of Bond Springs on Tanami Rd
463=	11	18.2km NW of Kuranda, on Black Mountain Road
463=	11	65 km N of Sydney on Pacific Hiway
463=	11	Bellenden Ker Ra, Cableway Base Stn
463=	11	Bilpin, Bell's Line of Road
463=	11	Brand Hiway 55.9 km S of Dongarra Road
463=	11	Credo Station, Track W of Black Rabbit Dam
463=	11	Danbulla Scientific Reserve
463=	11	Dunk Island Aerodrome
463=	11	Hopetoun
463=	11	Myall Lakes National Park, Paperbark Flat
463=	11	Myall Lakes National Park, Paperbark Flat, Big Gibber
463=	11	Ulverstone, Lea
463=	11	Western Explorer Track nr Corinna base camp
480=	10	1/2km NW of Mt Fisher
480=	10	10.3 km N of South Coast Hiway on North Walpole Road toward Mt. Frankland
480=	10	129 mi. S of Darwin
480=	10	16 km W of Adavale
480=	10	2 mi. S of Adelaide River
480=	10	33.8km N of Cooktown, on Hopevale Rd
480=	10	3k W of Bones Knob
480=	10	87.3 km E of Yuendumu Mt Denison-Coniston Rd
480=	10	Abbattoir Swamp Environmental Pk, 4km E of Mt Molloy
480=	10	Bartle Frere Track, 17km W Malanda
480=	10	Chujeba Peak summit, 7km SW Redlynch
480=	10	Credo Station, Coolgardie Nth Rd, S of Callion townsite
480=	10	Credo Station, NE of Nagel Dam
480=	10	Credo Station, track to Emu Rock
480=	10	Culgoa Floodplain NP, 7km NNW Toulby Gate &#40;CG4 M&#41;.
480=	10	Darnley Island, Torres Strait Islands
480=	10	Dergholm State Forest
480=	10	Heathcote National Park, 1km N of Woronora Dam turn-off, on Old Princes Hwy
480=	10	Hiltaba: 1.4km S of Peeweena dam
480=	10	Karara, cnr. Karara Rd and Forrest Rd
480=	10	Kosciuszko National Park, Pocket Saddle Rd, ca. 1km W of Old Snowy Camp
480=	10	Little Desert National Park, 5-6 km W of McDonald Hiway
480=	10	Mt Arapiles
480=	10	Mt Boolbun South
480=	10	National Park
